weight_g,610.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,734.313236
37.000000,0.000000,760.646228
38.000000,0.000000,787.409242
39.000000,0.000000,814.602277
40.000000,0.000000,842.225335
41.000000,0.000000,870.278415
42.000000,0.000000,898.761517
43.000000,0.000000,927.674641
44.000000,0.000000,957.017787
45.000000,0.000000,986.790955
46.000000,0.000000,1016.994145
47.000000,0.000000,1047.235748
48.000000,0.000000,1076.899079
49.000000,0.000000,1106.947400
50.000000,0.000000,1137.380711
51.000000,0.000000,1168.199012
52.000000,0.000000,1199.402303
53.000000,0.000000,1230.990583
54.000000,0.000000,1262.963853
55.000000,0.000000,1295.322113
56.000000,0.000000,1328.065363
57.000000,0.000000,1360.068876
58.000000,0.000000,1391.591750
59.000000,0.000000,1423.446323
60.000000,0.000000,1455.632596
61.000000,0.000000,1488.150568
62.000000,0.000000,1521.000239
63.000000,0.000000,1554.181610
64.000000,0.000000,1587.694680
65.000000,0.000000,1621.539449
66.000000,0.000000,1655.518317
67.000000,0.000000,1689.604871
68.000000,0.000000,1724.012916
69.000000,0.000000,1758.742452
70.000000,0.000000,1793.793479
71.000000,0.000000,1829.165996
72.000000,0.000000,1864.860005
73.000000,0.000000,1900.875504
74.000000,0.000000,1937.106425
75.000000,0.000000,1972.119849
76.000000,0.000000,2007.418665
77.000000,0.000000,2043.002874
78.000000,0.000000,2078.872475
79.000000,0.000000,2115.027469
80.000000,0.000000,2151.467854
81.000000,0.000000,2188.193633
82.000000,0.000000,2225.204804
83.000000,0.000000,2262.501367
84.000000,0.000000,2300.083322
85.000000,0.000000,2337.950670
86.000000,0.000000,2376.103411
87.000000,0.000000,2414.541544
88.000000,0.000000,2453.265069
89.000000,0.000000,2492.273987
90.000000,0.000000,2531.186126
91.000000,0.000000,2569.733562
92.000000,0.000000,2608.545422
93.000000,0.000000,2647.621704
94.000000,0.000000,2686.962411
95.000000,0.000000,2726.567541
96.000000,0.000000,2766.437094
97.000000,0.000000,2806.540388
98.000000,0.000000,2846.348452
99.000000,0.000000,2886.409643
100.000000,0.000000,2926.723961
36.000000,0.500000,738.796054
37.000000,0.500000,765.277550
38.000000,0.500000,792.191723
39.000000,0.500000,819.538570
40.000000,0.500000,847.318093
41.000000,0.500000,875.530292
42.000000,0.500000,904.175166
43.000000,0.500000,933.252715
44.000000,0.500000,962.762940
45.000000,0.500000,992.705841
46.000000,0.500000,1023.081417
47.000000,0.500000,1053.186612
48.000000,0.500000,1083.013505
49.000000,0.500000,1113.227795
50.000000,0.500000,1143.829483
51.000000,0.500000,1174.818568
52.000000,0.500000,1206.195051
53.000000,0.500000,1237.958931
54.000000,0.500000,1270.110209
55.000000,0.500000,1302.648884
56.000000,0.500000,1335.497414
57.000000,0.500000,1367.224552
58.000000,0.500000,1398.876858
59.000000,0.500000,1430.861991
60.000000,0.500000,1463.179949
61.000000,0.500000,1495.830733
62.000000,0.500000,1528.814343
63.000000,0.500000,1562.130779
64.000000,0.500000,1595.780040
65.000000,0.500000,1629.760501
66.000000,0.500000,1663.802802
67.000000,0.500000,1698.061264
68.000000,0.500000,1732.643183
69.000000,0.500000,1767.548559
70.000000,0.500000,1802.777391
71.000000,0.500000,1838.329681
72.000000,0.500000,1874.205428
73.000000,0.500000,1910.404632
74.000000,0.500000,1946.317127
75.000000,0.500000,1981.451740
76.000000,0.500000,2016.872506
77.000000,0.500000,2052.579428
78.000000,0.500000,2088.572503
79.000000,0.500000,2124.851732
80.000000,0.500000,2161.417116
81.000000,0.500000,2198.268654
82.000000,0.500000,2235.406346
83.000000,0.500000,2272.830192
84.000000,0.500000,2310.540193
85.000000,0.500000,2348.536347
86.000000,0.500000,2386.818656
87.000000,0.500000,2425.387119
88.000000,0.500000,2464.241737
89.000000,0.500000,2503.382508
90.000000,0.500000,2542.142884
91.000000,0.500000,2580.849791
92.000000,0.500000,2619.822561
93.000000,0.500000,2659.061196
94.000000,0.500000,2698.565695
95.000000,0.500000,2738.336058
96.000000,0.500000,2778.372284
97.000000,0.500000,2818.421783
98.000000,0.500000,2858.347515
99.000000,0.500000,2898.526918
100.000000,0.500000,2938.959993
36.000000,1.000000,743.286765
37.000000,1.000000,769.917166
38.000000,1.000000,796.982904
39.000000,1.000000,824.483980
40.000000,1.000000,852.420392
41.000000,1.000000,880.792142
42.000000,1.000000,909.599229
43.000000,1.000000,938.841652
44.000000,1.000000,968.519413
45.000000,1.000000,998.632511
46.000000,1.000000,1029.180946
47.000000,1.000000,1059.147819
48.000000,1.000000,1089.138709
49.000000,1.000000,1119.519412
50.000000,1.000000,1150.289928
51.000000,1.000000,1181.450256
52.000000,1.000000,1213.000397
53.000000,1.000000,1244.940351
54.000000,1.000000,1277.270117
55.000000,1.000000,1309.989696
56.000000,1.000000,1342.943428
57.000000,1.000000,1374.391390
58.000000,1.000000,1406.173306
59.000000,1.000000,1438.289175
60.000000,1.000000,1470.738998
61.000000,1.000000,1503.522775
62.000000,1.000000,1536.640505
63.000000,1.000000,1570.092190
64.000000,1.000000,1603.877828
65.000000,1.000000,1637.994154
66.000000,1.000000,1672.099543
67.000000,1.000000,1706.530362
68.000000,1.000000,1741.286610
69.000000,1.000000,1776.368287
70.000000,1.000000,1811.775393
71.000000,1.000000,1847.507928
72.000000,1.000000,1883.565893
73.000000,1.000000,1919.949286
74.000000,1.000000,1955.540307
75.000000,1.000000,1990.796243
76.000000,1.000000,2026.339096
77.000000,1.000000,2062.168865
78.000000,1.000000,2098.285552
79.000000,1.000000,2134.689155
80.000000,1.000000,2171.379674
81.000000,1.000000,2208.357110
82.000000,1.000000,2245.621463
83.000000,1.000000,2283.172733
84.000000,1.000000,2321.010919
85.000000,1.000000,2359.136022
86.000000,1.000000,2397.548042
87.000000,1.000000,2436.246978
88.000000,1.000000,2475.232831
89.000000,1.000000,2514.505601
90.000000,1.000000,2553.112181
91.000000,1.000000,2591.978981
92.000000,1.000000,2631.113089
93.000000,1.000000,2670.514505
94.000000,1.000000,2710.183229
95.000000,1.000000,2750.119261
96.000000,1.000000,2790.322601
97.000000,1.000000,2830.317090
98.000000,1.000000,2870.360593
99.000000,1.000000,2910.658312
100.000000,1.000000,2951.210248
36.000000,1.500000,747.824473
37.000000,1.500000,774.605372
38.000000,1.500000,801.824294
39.000000,1.500000,829.481240
40.000000,1.500000,857.576209
41.000000,1.500000,886.109202
42.000000,1.500000,915.080218
43.000000,1.500000,944.489257
