weight_g,360.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,585.733345
32.000000,0.000000,612.385966
33.000000,0.000000,639.568018
34.000000,0.000000,667.279503
35.000000,0.000000,695.520419
36.000000,0.000000,724.290767
37.000000,0.000000,753.590546
38.000000,0.000000,783.419757
39.000000,0.000000,813.778400
40.000000,0.000000,844.277796
41.000000,0.000000,874.480852
42.000000,0.000000,905.157625
43.000000,0.000000,936.308116
44.000000,0.000000,967.932325
45.000000,0.000000,1000.030253
46.000000,0.000000,1032.601898
47.000000,0.000000,1065.647261
48.000000,0.000000,1099.117685
49.000000,0.000000,1132.079390
50.000000,0.000000,1165.475465
51.000000,0.000000,1199.305911
52.000000,0.000000,1233.570728
53.000000,0.000000,1268.269916
54.000000,0.000000,1303.403475
55.000000,0.000000,1338.971405
56.000000,0.000000,1374.610929
57.000000,0.000000,1410.118986
58.000000,0.000000,1446.029506
59.000000,0.000000,1482.342487
60.000000,0.000000,1519.057931
61.000000,0.000000,1556.175836
62.000000,0.000000,1593.696204
63.000000,0.000000,1631.472390
64.000000,0.000000,1669.100248
65.000000,0.000000,1707.106301
66.000000,0.000000,1745.490549
67.000000,0.000000,1784.252992
68.000000,0.000000,1823.393630
69.000000,0.000000,1862.912462
70.000000,0.000000,1902.774661
71.000000,0.000000,1942.960303
72.000000,0.000000,1983.517713
73.000000,0.000000,2024.446893
74.000000,0.000000,2065.747843
75.000000,0.000000,2107.420562
76.000000,0.000000,2149.465050
77.000000,0.000000,2192.971564
78.000000,0.000000,2236.854550
79.000000,0.000000,2281.109281
80.000000,0.000000,2325.735756
81.000000,0.000000,2370.733977
82.000000,0.000000,2416.103942
83.000000,0.000000,2461.845652
84.000000,0.000000,2507.959107
85.000000,0.000000,2554.444307
86.000000,0.000000,2601.301251
87.000000,0.000000,2648.529941
88.000000,0.000000,2698.682072
89.000000,0.000000,2752.932457
90.000000,0.000000,2807.610761
91.000000,0.000000,2862.716983
92.000000,0.000000,2918.251124
93.000000,0.000000,2974.226779
94.000000,0.000000,3030.639515
95.000000,0.000000,3087.480353
96.000000,0.000000,3144.749293
97.000000,0.000000,3202.446334
98.000000,0.000000,3261.664070
99.000000,0.000000,3321.370735
100.000000,0.000000,3381.516828
31.000000,0.500000,589.610299
32.000000,0.500000,616.394931
33.000000,0.500000,643.711325
34.000000,0.500000,671.559482
35.000000,0.500000,699.939400
36.000000,0.500000,728.851080
37.000000,0.500000,758.294523
38.000000,0.500000,788.269727
39.000000,0.500000,818.776694
40.000000,0.500000,849.229999
41.000000,0.500000,879.577085
42.000000,0.500000,910.400059
43.000000,0.500000,941.698922
44.000000,0.500000,973.473673
45.000000,0.500000,1005.724312
46.000000,0.500000,1038.450840
47.000000,0.500000,1071.653255
48.000000,0.500000,1105.087409
49.000000,0.500000,1138.179364
50.000000,0.500000,1171.707231
51.000000,0.500000,1205.671010
52.000000,0.500000,1240.070701
53.000000,0.500000,1274.906304
54.000000,0.500000,1310.177819
55.000000,0.500000,1345.885245
56.000000,0.500000,1381.499894
57.000000,0.500000,1417.159828
58.000000,0.500000,1453.223795
59.000000,0.500000,1489.691796
60.000000,0.500000,1526.563829
61.000000,0.500000,1563.839895
62.000000,0.500000,1601.519994
63.000000,0.500000,1639.304796
64.000000,0.500000,1677.076270
65.000000,0.500000,1715.227388
66.000000,0.500000,1753.758149
67.000000,0.500000,1792.668554
68.000000,0.500000,1831.958602
69.000000,0.500000,1871.628294
70.000000,0.500000,1911.593717
71.000000,0.500000,1951.895998
72.000000,0.500000,1992.570966
73.000000,0.500000,2033.618620
74.000000,0.500000,2075.038962
75.000000,0.500000,2116.831991
76.000000,0.500000,2159.230795
77.000000,0.500000,2202.834384
78.000000,0.500000,2246.812443
79.000000,0.500000,2291.162613
80.000000,0.500000,2335.884893
81.000000,0.500000,2380.979284
82.000000,0.500000,2426.445786
83.000000,0.500000,2472.284398
84.000000,0.500000,2518.495121
85.000000,0.500000,2565.077955
86.000000,0.500000,2612.032899
87.000000,0.500000,2659.359953
88.000000,0.500000,2710.926326
89.000000,0.500000,2765.154690
90.000000,0.500000,2819.810121
91.000000,0.500000,2874.892620
92.000000,0.500000,2930.405854
93.000000,0.500000,2986.448649
94.000000,0.500000,3042.923894
95.000000,0.500000,3099.827096
96.000000,0.500000,3157.158254
97.000000,0.500000,3215.092721
98.000000,0.500000,3274.282630
99.000000,0.500000,3333.935438
100.000000,0.500000,3394.026374
31.000000,1.000000,593.496446
32.000000,1.000000,620.413405
33.000000,1.000000,647.864461
34.000000,1.000000,675.849615
35.000000,1.000000,704.368867
36.000000,1.000000,733.422216
37.000000,1.000000,763.009663
38.000000,1.000000,793.131207
39.000000,1.000000,823.786849
40.000000,1.000000,854.192662
41.000000,1.000000,884.684108
42.000000,1.000000,915.653617
43.000000,1.000000,947.101189
44.000000,1.000000,979.026824
45.000000,1.000000,1011.430524
46.000000,1.000000,1044.312286
47.000000,1.000000,1077.672112
48.000000,1.000000,1111.068829
49.000000,1.000000,1144.291303
50.000000,1.000000,1177.951232
51.000000,1.000000,1212.048617
52.000000,1.000000,1246.583458
53.000000,1.000000,1281.555755
54.000000,1.000000,1316.965507
55.000000,1.000000,1352.812715
56.000000,1.000000,1388.401369
57.000000,1.000000,1424.213440
58.000000,1.000000,1460.431117
59.000000,1.000000,1497.054400
60.000000,1.000000,1534.083290
61.000000,1.000000,1571.517786
62.000000,1.000000,1609.357889
63.000000,1.000000,1647.150303
64.000000,1.000000,1685.065678
65.000000,1.000000,1723.362147
66.000000,1.000000,1762.039711
67.000000,1.000000,1801.098371
68.000000,1.000000,1840.538125
69.000000,1.000000,1880.358975
70.000000,1.000000,1920.427402
71.000000,1.000000,1960.846534
72.000000,1.000000,2001.639272
73.000000,1.000000,2042.805614
74.000000,1.000000,2084.345562
75.000000,1.000000,2126.259115
76.000000,1.000000,2169.011856
77.000000,1.000000,2212.712596
78.000000,1.000000,2256.785813
79.000000,1.000000,2301.231507
80.000000,1.000000,2346.049677
81.000000,1.000000,2391.240324
82.000000,1.000000,2436.803447
83.000000,1.000000,2482.739046
84.000000,1.000000,2529.047122
85.000000,1.000000,2575.727675
86.000000,1.000000,2622.780704
87.000000,1.000000,2670.206209
88.000000,1.000000,2723.188471
89.000000,1.000000,2777.394713
90.000000,1.000000,2832.027168
91.000000,1.000000,2887.085835
92.000000,1.000000,2942.578055
93.000000,1.000000,2998.687983
94.000000,1.000000,3055.225722
95.000000,1.000000,3112.191273
96.000000,1.000000,3169.584637
97.000000,1.000000,3227.756814
98.000000,1.000000,3286.918722
99.000000,1.000000,3346.517456
100.000000,1.000000,3406.553016
31.000000,1.500000,597.416889
32.000000,1.500000,624.466971
33.000000,1.500000,652.053494
34.000000,1.500000,680.176456
35.000000,1.500000,708.835860
36.000000,1.500000,738.031703
37.000000,1.500000,767.763987
38.000000,1.500000,798.032711
39.000000,1.500000,828.837875
40.000000,1.500000,859.198023
41.000000,1.500000,889.836051
42.000000,1.500000,920.954360
43.000000,1.500000,952.552949
44.000000,1.500000,984.631820
45.000000,1.500000,1017.190971
46.000000,1.500000,1050.230403
47.000000,1.500000,1083.750116
48.000000,1.500000,1117.092119
49.000000,1.500000,1150.445082
50.000000,1.500000,1184.237035
51.000000,1.500000,1218.467977
52.000000,1.500000,1253.137909
53.000000,1.500000,1288.246831
54.000000,1.500000,1323.794742
55.000000,1.500000,1359.707485
56.000000,1.500000,1395.356981
57.000000,1.500000,1431.322193
58.000000,1.500000,1467.694594
59.000000,1.500000,1504.474184
60.000000,1.500000,1541.660963
61.000000,1.500000,1579.254930
62.000000,1.500000,1617.237734
63.000000,1.500000,1655.046244
64.000000,1.500000,1693.107700
65.000000,1.500000,1731.551729
66.000000,1.500000,1770.378333
67.000000,1.500000,1809.587511
68.000000,1.500000,1849.179263
69.000000,1.500000,1889.121229
70.000000,1.500000,1929.296815
71.000000,1.500000,1969.835427
72.000000,1.500000,2010.748597
73.000000,1.500000,2052.036325
74.000000,1.500000,2093.698610
75.000000,1.500000,2135.735453
76.000000,1.500000,2178.821133
77.000000,1.500000,2222.616917
78.000000,1.500000,2266.785545
79.000000,1.500000,2311.327017
80.000000,1.500000,2356.241332
81.000000,1.500000,2401.528491
82.000000,1.500000,2447.188494
83.000000,1.500000,2493.221340
84.000000,1.500000,2539.627030
85.000000,1.500000,2586.405564
86.000000,1.500000,2633.556941
87.000000,1.500000,2682.003034
88.000000,1.500000,2735.365467
89.000000,1.500000,2789.552394
90.000000,1.500000,2844.164713
91.000000,1.500000,2899.202424
92.000000,1.500000,2954.755958
93.000000,1.500000,3010.928399
94.000000,1.500000,3067.528506
95.000000,1.500000,3124.556280
96.000000,1.500000,3182.011720
97.000000,1.500000,3240.349055
98.000000,1.500000,3299.460327
99.000000,1.500000,3359.007154
100.000000,1.500000,3418.989535
30.000000,2.000000,574.701927
31.000000,2.000000,601.346662
32.000000,2.000000,628.530186
33.000000,2.000000,656.252498
34.000000,2.000000,684.513598
35.000000,2.000000,713.313487
36.000000,2.000000,742.652164
37.000000,2.000000,772.529629
38.000000,2.000000,802.945882
39.000000,2.000000,833.900924
40.000000,2.000000,864.214003
41.000000,2.000000,894.998949
42.000000,2.000000,926.266398
43.000000,2.000000,958.016351
44.000000,2.000000,990.248807
45.000000,2.000000,1022.963767
46.000000,2.000000,1056.161229
47.000000,2.000000,1089.841195
48.000000,2.000000,1123.127255
49.000000,2.000000,1156.610975
50.000000,2.000000,1190.535222
51.000000,2.000000,1224.899994
52.000000,2.000000,1259.705293
53.000000,2.000000,1294.951119
54.000000,2.000000,1330.637471
55.000000,2.000000,1366.615397
56.000000,2.000000,1402.325240
57.000000,2.000000,1438.443856
58.000000,2.000000,1474.971246
59.000000,2.000000,1511.907409
60.000000,2.000000,1549.252346
61.000000,2.000000,1587.006057
62.000000,2.000000,1625.131686
63.000000,2.000000,1662.955458
64.000000,2.000000,1701.163285
65.000000,2.000000,1739.755168
66.000000,2.000000,1778.731107
67.000000,2.000000,1818.091102
68.000000,2.000000,1857.835152
69.000000,2.000000,1897.898197
70.000000,2.000000,1938.180995
71.000000,2.000000,1978.839304
72.000000,2.000000,2019.873125
