weight_g,420.000000
thrust_N,velocity_m_s,power_W
30.000000,0.000000,594.792303
31.000000,0.000000,622.678915
32.000000,0.000000,651.137849
33.000000,0.000000,680.169102
34.000000,0.000000,709.772676
35.000000,0.000000,739.948570
36.000000,0.000000,770.696784
37.000000,0.000000,802.017318
38.000000,0.000000,833.910173
39.000000,0.000000,865.435224
40.000000,0.000000,896.958934
41.000000,0.000000,928.985696
42.000000,0.000000,961.515509
43.000000,0.000000,994.548373
44.000000,0.000000,1028.084288
45.000000,0.000000,1062.123255
46.000000,0.000000,1096.665272
47.000000,0.000000,1131.057512
48.000000,0.000000,1165.497368
49.000000,0.000000,1200.396237
50.000000,0.000000,1235.754117
51.000000,0.000000,1271.571009
52.000000,0.000000,1307.846913
53.000000,0.000000,1344.581829
54.000000,0.000000,1381.621475
55.000000,0.000000,1418.426017
56.000000,0.000000,1455.655938
57.000000,0.000000,1493.311238
58.000000,0.000000,1531.391917
59.000000,0.000000,1569.897975
60.000000,0.000000,1608.829413
61.000000,0.000000,1648.028343
62.000000,0.000000,1687.116824
63.000000,0.000000,1726.606904
64.000000,0.000000,1766.498581
65.000000,0.000000,1806.791856
66.000000,0.000000,1847.486729
67.000000,0.000000,1888.583199
68.000000,0.000000,1929.995387
69.000000,0.000000,1971.753915
70.000000,0.000000,2013.903604
71.000000,0.000000,2056.444455
72.000000,0.000000,2099.376467
73.000000,0.000000,2142.699640
74.000000,0.000000,2186.633494
75.000000,0.000000,2231.239669
76.000000,0.000000,2276.230820
77.000000,0.000000,2321.606947
78.000000,0.000000,2367.368051
79.000000,0.000000,2413.514132
80.000000,0.000000,2461.180594
81.000000,0.000000,2509.967757
82.000000,0.000000,2559.156702
83.000000,0.000000,2608.747430
84.000000,0.000000,2658.739941
85.000000,0.000000,2709.900028
86.000000,0.000000,2763.633246
87.000000,0.000000,2817.791580
88.000000,0.000000,2872.375031
89.000000,0.000000,2927.383598
90.000000,0.000000,2982.923802
91.000000,0.000000,3039.048362
92.000000,0.000000,3095.600696
93.000000,0.000000,3152.580806
94.000000,0.000000,3209.988691
95.000000,0.000000,3275.645631
96.000000,0.000000,3344.660756
97.000000,0.000000,3414.205363
98.000000,0.000000,3484.279451
99.000000,0.000000,3554.883019
100.000000,0.000000,3626.016068
30.000000,0.500000,598.849446
31.000000,0.500000,626.921747
32.000000,0.500000,655.570162
33.000000,0.500000,684.794690
34.000000,0.500000,714.595333
35.000000,0.500000,744.972090
36.000000,0.500000,775.924961
37.000000,0.500000,807.453946
38.000000,0.500000,839.559045
39.000000,0.500000,870.996365
40.000000,0.500000,902.682613
41.000000,0.500000,934.874210
42.000000,0.500000,967.571156
43.000000,0.500000,1000.773451
44.000000,0.500000,1034.481094
45.000000,0.500000,1068.694087
46.000000,0.500000,1103.412428
47.000000,0.500000,1137.732311
