weight_g,60.000000
thrust_N,velocity_m_s,power_W
53.000000,0.000000,10901.726043
54.000000,0.000000,11305.660316
55.000000,0.000000,11716.941805
56.000000,0.000000,12135.570509
57.000000,0.000000,12561.546428
58.000000,0.000000,12994.869563
59.000000,0.000000,13435.539912
60.000000,0.000000,13883.557477
61.000000,0.000000,14338.922257
62.000000,0.000000,14801.634252
63.000000,0.000000,15271.693462
64.000000,0.000000,15749.099887
65.000000,0.000000,16233.853528
66.000000,0.000000,16725.954384
67.000000,0.000000,17222.534236
68.000000,0.000000,17723.353761
69.000000,0.000000,18231.350185
70.000000,0.000000,18746.523507
71.000000,0.000000,19268.873728
72.000000,0.000000,19798.400848
73.000000,0.000000,20335.104866
74.000000,0.000000,20878.985784
75.000000,0.000000,21430.043600
76.000000,0.000000,21988.278314
77.000000,0.000000,22553.689928
78.000000,0.000000,23126.278440
79.000000,0.000000,23706.043851
80.000000,0.000000,24292.986160
81.000000,0.000000,24883.828015
82.000000,0.000000,25480.816359
83.000000,0.000000,26084.880345
84.000000,0.000000,26696.019975
85.000000,0.000000,27314.235248
86.000000,0.000000,27939.526164
87.000000,0.000000,28571.892723
88.000000,0.000000,29211.334925
89.000000,0.000000,29857.852770
90.000000,0.000000,30511.446258
91.000000,0.000000,31172.115389
92.000000,0.000000,31839.860164
93.000000,0.000000,32514.680581
94.000000,0.000000,33196.576642
95.000000,0.000000,33885.548346
96.000000,0.000000,34581.595693
97.000000,0.000000,35284.718682
98.000000,0.000000,35994.917316
99.000000,0.000000,36712.191592
100.000000,0.000000,37436.541511
53.000000,0.500000,11071.957753
54.000000,0.500000,11480.996040
55.000000,0.500000,11897.452958
56.000000,0.500000,12321.328506
57.000000,0.500000,12752.622685
58.000000,0.500000,13191.335494
59.000000,0.500000,13637.466934
60.000000,0.500000,14091.017003
61.000000,0.500000,14551.985703
62.000000,0.500000,15020.373034
63.000000,0.500000,15496.178994
64.000000,0.500000,15979.403585
65.000000,0.500000,16470.046807
66.000000,0.500000,16966.894323
67.000000,0.500000,17467.427660
68.000000,0.500000,17973.713791
69.000000,0.500000,18487.231878
70.000000,0.500000,19007.981922
71.000000,0.500000,19535.963923
72.000000,0.500000,20071.177881
73.000000,0.500000,20613.623796
74.000000,0.500000,21163.301668
75.000000,0.500000,21720.211496
76.000000,0.500000,22284.353282
77.000000,0.500000,22855.727025
78.000000,0.500000,23434.332725
79.000000,0.500000,24020.170381
80.000000,0.500000,24611.245012
81.000000,0.500000,25207.218549
82.000000,0.500000,25809.842128
83.000000,0.500000,26419.583370
84.000000,0.500000,27036.442277
85.000000,0.500000,27660.418848
86.000000,0.500000,28291.513082
87.000000,0.500000,28929.724980
88.000000,0.500000,29575.054542
89.000000,0.500000,30227.501769
90.000000,0.500000,30887.066658
91.000000,0.500000,31553.749212
92.000000,0.500000,32227.549430
93.000000,0.500000,32908.467311
94.000000,0.500000,33596.502857
95.000000,0.500000,34291.656066
96.000000,0.500000,34993.926939
97.000000,0.500000,35703.315476
98.000000,0.500000,36419.821677
99.000000,0.500000,37143.445542
100.000000,0.500000,37874.187070
52.000000,1.000000,10836.825779
53.000000,1.000000,11243.508043
54.000000,1.000000,11657.680698
55.000000,1.000000,12079.343744
56.000000,1.000000,12508.497180
57.000000,1.000000,12945.141008
58.000000,1.000000,13389.275226
59.000000,1.000000,13840.899836
60.000000,1.000000,14300.014836
61.000000,1.000000,14766.620227
62.000000,1.000000,15240.716009
63.000000,1.000000,15722.302182
64.000000,1.000000,16211.378746
65.000000,1.000000,16707.945701
66.000000,1.000000,17209.556974
67.000000,1.000000,17714.049558
68.000000,1.000000,18225.829368
69.000000,1.000000,18744.896403
70.000000,1.000000,19271.250664
71.000000,1.000000,19804.892150
72.000000,1.000000,20345.820863
73.000000,1.000000,20894.036800
74.000000,1.000000,21449.539963
75.000000,1.000000,22012.330352
76.000000,1.000000,22582.407967
77.000000,1.000000,23159.772806
78.000000,1.000000,23744.424872
79.000000,1.000000,24336.364163
80.000000,1.000000,24931.574670
81.000000,1.000000,25532.696528
82.000000,1.000000,26140.978195
83.000000,1.000000,26756.419670
84.000000,1.000000,27379.020955
85.000000,1.000000,28008.782049
86.000000,1.000000,28645.702952
87.000000,1.000000,29289.783663
88.000000,1.000000,29941.024184
89.000000,1.000000,30599.424514
90.000000,1.000000,31264.984653
91.000000,1.000000,31937.704601
92.000000,1.000000,32617.584358
93.000000,1.000000,33304.623924
94.000000,1.000000,33998.823299
95.000000,1.000000,34700.182484
96.000000,1.000000,35408.701477
97.000000,1.000000,36124.380279
98.000000,1.000000,36847.218890
99.000000,1.000000,37577.217311
100.000000,1.000000,38314.375540
52.000000,1.500000,11008.526667
53.000000,1.500000,11420.417074
54.000000,1.500000,11839.871535
55.000000,1.500000,12266.890049
56.000000,1.500000,12701.472617
57.000000,1.500000,13143.619239
58.000000,1.500000,13593.329913
59.000000,1.500000,14050.604642
60.000000,1.500000,14515.443423
61.000000,1.500000,14987.846259
62.000000,1.500000,15467.813148
63.000000,1.500000,15955.344090
64.000000,1.500000,16450.439086
65.000000,1.500000,16952.190977
66.000000,1.500000,17457.127915
67.000000,1.500000,17967.189603
68.000000,1.500000,18484.595021
69.000000,1.500000,19009.344168
70.000000,1.500000,19541.437044
71.000000,1.500000,20080.873650
72.000000,1.500000,20627.653985
73.000000,1.500000,21181.778050
74.000000,1.500000,21743.245844
75.000000,1.500000,22312.057367
76.000000,1.500000,22888.212620
77.000000,1.500000,23471.711602
78.000000,1.500000,24062.554313
79.000000,1.500000,24658.324705
80.000000,1.500000,25258.557340
81.000000,1.500000,25865.363348
82.000000,1.500000,26479.371083
83.000000,1.500000,27100.580545
84.000000,1.500000,27728.991734
85.000000,1.500000,28364.604651
86.000000,1.500000,29007.419294
87.000000,1.500000,29657.435665
88.000000,1.500000,30314.653762
89.000000,1.500000,30979.073587
90.000000,1.500000,31650.695139
91.000000,1.500000,32329.518418
92.000000,1.500000,33015.543425
93.000000,1.500000,33708.770158
94.000000,1.500000,34409.198619
95.000000,1.500000,35116.828806
96.000000,1.500000,35831.660721
97.000000,1.500000,36553.694363
98.000000,1.500000,37282.929732
99.000000,1.500000,38019.366828
100.000000,1.500000,38763.005652
51.000000,2.000000,10772.085045
52.000000,2.000000,11181.576888
53.000000,2.000000,11598.706807
54.000000,2.000000,12023.474802
55.000000,2.000000,12455.880874
56.000000,2.000000,12895.925022
57.000000,2.000000,13343.607247
58.000000,2.000000,13798.927548
59.000000,2.000000,14261.885926
60.000000,2.000000,14732.482381
61.000000,2.000000,15210.716912
62.000000,2.000000,15696.589519
63.000000,2.000000,16190.100203
64.000000,2.000000,16691.248963
65.000000,2.000000,17198.208310
66.000000,2.000000,17706.466536
67.000000,2.000000,18222.125213
68.000000,2.000000,18745.184342
69.000000,2.000000,19275.643922
70.000000,2.000000,19813.503954
71.000000,2.000000,20358.764437
72.000000,2.000000,20911.425371
73.000000,2.000000,21471.486757
74.000000,2.000000,22038.948594
75.000000,2.000000,22613.810883
76.000000,2.000000,23196.073623
77.000000,2.000000,23785.736815
78.000000,2.000000,24382.800458
79.000000,2.000000,24982.400603
80.000000,2.000000,25587.669884
81.000000,2.000000,26200.182932
82.000000,2.000000,26819.939748
83.000000,2.000000,27446.940332
84.000000,2.000000,28081.184683
85.000000,2.000000,28722.672802
86.000000,2.000000,29371.404688
87.000000,2.000000,30027.380342
88.000000,2.000000,30690.599763
89.000000,2.000000,31361.062952
90.000000,2.000000,32038.769909
91.000000,2.000000,32723.720633
92.000000,2.000000,33415.915125
93.000000,2.000000,34115.353384
94.000000,2.000000,34822.035411
95.000000,2.000000,35535.961206
96.000000,2.000000,36257.130768
97.000000,2.000000,36985.544097
98.000000,2.000000,37721.201194
99.000000,2.000000,38464.102059
100.000000,2.000000,39214.246692
51.000000,2.500000,10945.493493
52.000000,2.500000,11360.356132
53.000000,2.500000,11782.934743
54.000000,2.500000,12213.229328
