weight_g,60.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,672.105555
26.000000,0.000000,713.817248
27.000000,0.000000,756.694148
28.000000,0.000000,800.736256
29.000000,0.000000,845.943572
30.000000,0.000000,892.316095
31.000000,0.000000,939.853825
32.000000,0.000000,987.896336
33.000000,0.000000,1036.645366
34.000000,0.000000,1086.485067
35.000000,0.000000,1137.415438
36.000000,0.000000,1189.436480
37.000000,0.000000,1242.548193
38.000000,0.000000,1296.670953
39.000000,0.000000,1351.230248
40.000000,0.000000,1406.833629
41.000000,0.000000,1463.481096
42.000000,0.000000,1521.172648
43.000000,0.000000,1579.908286
44.000000,0.000000,1639.672550
45.000000,0.000000,1700.366080
46.000000,0.000000,1762.084182
47.000000,0.000000,1824.826854
48.000000,0.000000,1888.594098
49.000000,0.000000,1953.385912
50.000000,0.000000,2020.927138
51.000000,0.000000,2090.825562
52.000000,0.000000,2161.820011
53.000000,0.000000,2233.910483
54.000000,0.000000,2307.096980
55.000000,0.000000,2384.418299
56.000000,0.000000,2465.406555
57.000000,0.000000,2547.629366
58.000000,0.000000,2631.086733
59.000000,0.000000,2716.199957
60.000000,0.000000,2808.059460
61.000000,0.000000,2901.303227
62.000000,0.000000,2995.931260
63.000000,0.000000,3092.282090
64.000000,0.000000,3200.683868
65.000000,0.000000,3310.755776
66.000000,0.000000,3422.497816
67.000000,0.000000,3539.926788
68.000000,0.000000,3663.409060
69.000000,0.000000,3788.785786
70.000000,0.000000,3919.122189
71.000000,0.000000,4059.857040
72.000000,0.000000,4202.802934
73.000000,0.000000,4349.951088
74.000000,0.000000,4502.758959
75.000000,0.000000,4657.930379
76.000000,0.000000,4827.589854
77.000000,0.000000,5006.712740
78.000000,0.000000,5188.748560
79.000000,0.000000,5373.697312
80.000000,0.000000,5561.558997
25.000000,0.500000,675.972017
26.000000,0.500000,717.922001
27.000000,0.500000,761.044088
28.000000,0.500000,805.338277
29.000000,0.500000,850.804568
30.000000,0.500000,897.442961
31.000000,0.500000,945.253456
32.000000,0.500000,993.371271
33.000000,0.500000,1042.292732
34.000000,0.500000,1092.307360
35.000000,0.500000,1143.415154
36.000000,0.500000,1195.616113
37.000000,0.500000,1248.910240
38.000000,0.500000,1303.141587
39.000000,0.500000,1357.901027
40.000000,0.500000,1413.707517
41.000000,0.500000,1470.561055
42.000000,0.500000,1528.461642
43.000000,0.500000,1587.409278
44.000000,0.500000,1647.383326
45.000000,0.500000,1708.318902
46.000000,0.500000,1770.282757
47.000000,0.500000,1833.274892
48.000000,0.500000,1897.295305
49.000000,0.500000,1962.343997
50.000000,0.500000,2030.424538
51.000000,0.500000,2100.446836
52.000000,0.500000,2171.564785
53.000000,0.500000,2243.778386
54.000000,0.500000,2317.087638
55.000000,0.500000,2395.202747
56.000000,0.500000,2476.258878
57.000000,0.500000,2558.547218
58.000000,0.500000,2642.067766
59.000000,0.500000,2727.981251
60.000000,0.500000,2819.902894
61.000000,0.500000,2913.205906
62.000000,0.500000,3007.890285
63.000000,0.500000,3105.628744
64.000000,0.500000,3214.119676
65.000000,0.500000,3324.277640
66.000000,0.500000,3436.102636
67.000000,0.500000,3554.546196
68.000000,0.500000,3678.054589
69.000000,0.500000,3803.452007
70.000000,0.500000,3935.111790
71.000000,0.500000,4075.887571
72.000000,0.500000,4218.868360
73.000000,0.500000,4366.676437
74.000000,0.500000,4519.585284
75.000000,0.500000,4674.853155
76.000000,0.500000,4846.760683
77.000000,0.500000,5026.149191
78.000000,0.500000,5208.449049
79.000000,0.500000,5393.660255
24.000000,1.000000,638.838154
25.000000,1.000000,679.848037
26.000000,1.000000,722.036936
27.000000,1.000000,765.404851
28.000000,1.000000,809.951782
29.000000,1.000000,855.677730
30.000000,1.000000,902.582694
31.000000,1.000000,950.666675
32.000000,1.000000,998.859099
33.000000,1.000000,1047.953275
34.000000,1.000000,1098.143115
35.000000,1.000000,1149.428620
36.000000,1.000000,1201.809790
37.000000,1.000000,1255.286623
38.000000,1.000000,1309.626136
39.000000,1.000000,1364.586067
40.000000,1.000000,1420.596014
41.000000,1.000000,1477.655978
42.000000,1.000000,1535.765957
43.000000,1.000000,1594.925952
44.000000,1.000000,1655.109787
45.000000,1.000000,1716.287867
46.000000,1.000000,1778.497941
47.000000,1.000000,1841.740008
48.000000,1.000000,1906.014069
49.000000,1.000000,1971.320124
50.000000,1.000000,2039.941134
51.000000,1.000000,2110.087271
52.000000,1.000000,2181.328686
53.000000,1.000000,2253.665379
54.000000,1.000000,2327.097349
55.000000,1.000000,2406.008271
56.000000,1.000000,2487.131987
57.000000,1.000000,2569.485565
58.000000,1.000000,2653.069007
59.000000,1.000000,2739.784787
60.000000,1.000000,2831.768215
61.000000,1.000000,2925.130117
62.000000,1.000000,3019.870492
63.000000,1.000000,3119.000459
64.000000,1.000000,3227.580173
65.000000,1.000000,3337.823821
66.000000,1.000000,3449.731404
67.000000,1.000000,3569.192157
68.000000,1.000000,3692.726035
69.000000,1.000000,3818.143516
70.000000,1.000000,3951.130178
71.000000,1.000000,4091.946206
72.000000,1.000000,4234.961214
73.000000,1.000000,4383.430518
74.000000,1.000000,4536.439843
75.000000,1.000000,4691.803672
76.000000,1.000000,4865.965486
77.000000,1.000000,5045.619446
78.000000,1.000000,5228.183171
79.000000,1.000000,5413.656661
24.000000,1.500000,642.532638
25.000000,1.500000,683.776059
26.000000,1.500000,726.205424
27.000000,1.500000,769.820732
28.000000,1.500000,814.621983
29.000000,1.500000,860.609178
30.000000,1.500000,907.782317
31.000000,1.500000,956.098578
32.000000,1.500000,1004.367546
33.000000,1.500000,1053.637408
34.000000,1.500000,1104.005535
35.000000,1.500000,1155.471925
36.000000,1.500000,1208.036579
37.000000,1.500000,1261.699497
38.000000,1.500000,1316.156057
39.000000,1.500000,1371.315890
40.000000,1.500000,1427.528662
41.000000,1.500000,1484.794371
42.000000,1.500000,1543.113017
43.000000,1.500000,1602.484601
44.000000,1.500000,1662.891794
45.000000,1.500000,1724.314533
46.000000,1.500000,1786.773020
47.000000,1.500000,1850.267253
48.000000,1.500000,1914.797233
49.000000,1.500000,1980.489114
50.000000,1.500000,2049.453193
51.000000,1.500000,2119.727523
52.000000,1.500000,2191.096889
53.000000,1.500000,2263.561291
54.000000,1.500000,2337.321697
55.000000,1.500000,2416.792242
56.000000,1.500000,2497.982545
57.000000,1.500000,2580.400362
58.000000,1.500000,2664.045693
59.000000,1.500000,2751.558420
60.000000,1.500000,2843.603563
61.000000,1.500000,2937.024313
62.000000,1.500000,3031.820670
63.000000,1.500000,3132.348266
64.000000,1.500000,3241.015478
65.000000,1.500000,3351.343524
66.000000,1.500000,3463.332401
67.000000,1.500000,3583.777026
68.000000,1.500000,3707.335059
69.000000,1.500000,3832.771296
70.000000,1.500000,3967.085214
71.000000,1.500000,4107.939258
72.000000,1.500000,4250.986259
73.000000,1.500000,4400.143726
74.000000,1.500000,4553.252429
75.000000,1.500000,4709.465367
76.000000,1.500000,4885.182834
77.000000,1.500000,5065.101780
78.000000,1.500000,5247.928911
79.000000,1.500000,5433.664224
24.000000,2.000000,646.236271
25.000000,2.000000,687.713840
26.000000,2.000000,730.384299
27.000000,2.000000,774.247649
28.000000,2.000000,819.303888
29.000000,2.000000,865.553017
30.000000,2.000000,912.995036
31.000000,2.000000,961.543966
32.000000,2.000000,1009.888943
33.000000,2.000000,1059.334786
34.000000,2.000000,1109.881495
35.000000,2.000000,1161.529071
36.000000,2.000000,1214.277513
37.000000,2.000000,1268.126822
38.000000,2.000000,1322.700031
39.000000,2.000000,1378.060108
40.000000,2.000000,1434.476049
41.000000,2.000000,1491.947853
42.000000,2.000000,1550.475520
43.000000,2.000000,1610.059049
44.000000,2.000000,1670.689649
45.000000,2.000000,1732.357512
46.000000,2.000000,1795.064883
47.000000,2.000000,1858.811760
48.000000,2.000000,1923.598143
49.000000,2.000000,1989.676671
50.000000,2.000000,2058.984381
51.000000,2.000000,2129.386886
52.000000,2.000000,2200.884185
53.000000,2.000000,2273.476277
54.000000,2.000000,2347.565721
55.000000,2.000000,2427.597154
56.000000,2.000000,2508.853754
57.000000,2.000000,2591.335520
58.000000,2.000000,2675.042453
59.000000,2.000000,2763.354128
60.000000,2.000000,2855.460635
61.000000,2.000000,2948.939885
62.000000,2.000000,3043.791877
63.000000,2.000000,3145.720974
64.000000,2.000000,3254.475312
65.000000,2.000000,3364.887383
66.000000,2.000000,3476.957188
67.000000,2.000000,3598.388163
68.000000,2.000000,3721.969720
69.000000,2.000000,3847.424089
70.000000,2.000000,3983.068734
71.000000,2.000000,4123.960115
72.000000,2.000000,4267.038433
73.000000,2.000000,4416.885446
74.000000,2.000000,4570.093033
75.000000,2.000000,4727.156921
76.000000,2.000000,4904.434081
77.000000,2.000000,5084.617843
78.000000,2.000000,5267.708208
79.000000,2.000000,5453.705177
24.000000,2.500000,649.999323
25.000000,2.500000,691.711638
26.000000,2.500000,734.623677
27.000000,2.500000,778.735438
28.000000,2.500000,824.046922
29.000000,2.500000,870.558129
30.000000,2.500000,918.269059
31.000000,2.500000,966.911442
32.000000,2.500000,1015.432721
33.000000,2.500000,1065.057570
34.000000,2.500000,1115.785990
35.000000,2.500000,1167.617981
36.000000,2.500000,1220.553542
37.000000,2.500000,1274.592674
38.000000,2.500000,1329.288554
39.000000,2.500000,1384.848258
40.000000,2.500000,1441.466703
41.000000,2.500000,1499.143891
42.000000,2.500000,1557.879821
43.000000,2.500000,1617.674493
44.000000,2.500000,1678.544084
45.000000,2.500000,1740.459254
46.000000,2.500000,1803.417730
47.000000,2.500000,1867.419512
48.000000,2.500000,1932.464600
49.000000,2.500000,1999.074247
50.000000,2.500000,2068.514661
51.000000,2.500000,2139.049759
52.000000,2.500000,2210.679539
53.000000,2.500000,2283.404002
54.000000,2.500000,2358.281049
55.000000,2.500000,2438.380128
56.000000,2.500000,2519.702024
57.000000,2.500000,2602.246736
58.000000,2.500000,2686.014265
59.000000,2.500000,2775.120327
60.000000,2.500000,2867.288142
61.000000,2.500000,2960.825864
62.000000,2.500000,3055.733494
63.000000,2.500000,3159.069296
64.000000,2.500000,3267.909475
65.000000,2.500000,3378.404282
66.000000,2.500000,3491.340795
67.000000,2.500000,3612.938003
68.000000,2.500000,3736.541765
69.000000,2.500000,3862.012968
70.000000,2.500000,3998.988155
71.000000,2.500000,4139.914645
72.000000,2.500000,4283.130089
73.000000,2.500000,4433.586111
74.000000,2.500000,4586.891491
75.000000,2.500000,4746.154667
76.000000,2.500000,4923.697758
77.000000,2.500000,5104.145873
78.000000,2.500000,5287.499013
79.000000,2.500000,5473.757176
24.000000,3.000000,653.771808
25.000000,3.000000,695.719474
26.000000,3.000000,738.873715
27.000000,3.000000,783.234530
28.000000,3.000000,828.801920
29.000000,3.000000,875.575884
30.000000,3.000000,923.556422
31.000000,3.000000,972.291630
32.000000,3.000000,1020.989513
33.000000,3.000000,1070.793674
34.000000,3.000000,1121.704112
35.000000,3.000000,1173.720829
36.000000,3.000000,1226.843824
37.000000,3.000000,1281.073097
38.000000,3.000000,1335.891266
39.000000,3.000000,1391.650932
40.000000,3.000000,1448.472223
41.000000,3.000000,1506.355140
42.000000,3.000000,1565.299682
43.000000,3.000000,1625.305850
44.000000,3.000000,1686.414533
45.000000,3.000000,1748.577482
46.000000,3.000000,1811.787542
47.000000,3.000000,1876.044713
48.000000,3.000000,1941.348996
49.000000,3.000000,2008.490900
50.000000,3.000000,2078.064018
51.000000,3.000000,2148.731706
52.000000,3.000000,2220.493967
53.000000,3.000000,2293.350798
54.000000,3.000000,2369.017475
55.000000,3.000000,2449.183910
56.000000,3.000000,2530.570812
57.000000,3.000000,2613.178181
58.000000,3.000000,2697.006017
59.000000,3.000000,2786.908438
60.000000,3.000000,2879.137215
61.000000,3.000000,2972.733065
62.000000,3.000000,3067.695989
63.000000,3.000000,3172.442360
64.000000,3.000000,3281.368005
65.000000,3.000000,3391.945179
66.000000,3.000000,3505.750561
67.000000,3.000000,3627.513827
68.000000,3.000000,3751.139169
69.000000,3.000000,3876.626588
