weight_g,360.000000
thrust_N,velocity_m_s,power_W
26.000000,0.000000,630.429693
27.000000,0.000000,663.931268
28.000000,0.000000,698.215201
29.000000,0.000000,733.281491
30.000000,0.000000,769.130140
31.000000,0.000000,805.761146
32.000000,0.000000,843.174510
33.000000,0.000000,881.370232
34.000000,0.000000,918.501313
35.000000,0.000000,956.260201
36.000000,0.000000,994.702421
37.000000,0.000000,1033.827974
38.000000,0.000000,1073.636859
39.000000,0.000000,1114.129077
40.000000,0.000000,1155.214858
41.000000,0.000000,1195.845558
42.000000,0.000000,1237.103030
43.000000,0.000000,1278.987276
44.000000,0.000000,1321.498296
45.000000,0.000000,1364.636088
46.000000,0.000000,1408.400654
47.000000,0.000000,1452.142014
48.000000,0.000000,1496.240661
49.000000,0.000000,1540.925744
50.000000,0.000000,1586.197260
51.000000,0.000000,1632.055211
52.000000,0.000000,1678.499597
53.000000,0.000000,1725.564370
54.000000,0.000000,1773.207536
55.000000,0.000000,1821.420488
56.000000,0.000000,1870.203227
57.000000,0.000000,1919.555752
58.000000,0.000000,1969.796435
59.000000,0.000000,2021.197783
60.000000,0.000000,2073.170819
61.000000,0.000000,2125.715542
62.000000,0.000000,2178.831952
63.000000,0.000000,2233.455347
64.000000,0.000000,2290.801300
65.000000,0.000000,2348.749432
66.000000,0.000000,2407.299742
67.000000,0.000000,2466.452232
68.000000,0.000000,2529.139181
69.000000,0.000000,2593.230420
70.000000,0.000000,2657.967619
71.000000,0.000000,2723.350777
72.000000,0.000000,2792.194700
73.000000,0.000000,2862.709809
74.000000,0.000000,2933.912167
26.000000,0.500000,633.518643
27.000000,0.500000,667.167368
28.000000,0.500000,701.601983
29.000000,0.500000,736.822489
30.000000,0.500000,772.828886
31.000000,0.500000,809.621173
32.000000,0.500000,847.199351
33.000000,0.500000,885.383560
34.000000,0.500000,922.646586
35.000000,0.500000,960.568129
36.000000,0.500000,999.176046
37.000000,0.500000,1038.470337
38.000000,0.500000,1078.451000
39.000000,0.500000,1119.118038
40.000000,0.500000,1160.213546
41.000000,0.500000,1200.972378
42.000000,0.500000,1242.359750
43.000000,0.500000,1284.375661
44.000000,0.500000,1327.020112
45.000000,0.500000,1370.293103
46.000000,0.500000,1414.192394
47.000000,0.500000,1457.940918
48.000000,0.500000,1502.162303
49.000000,0.500000,1546.971563
50.000000,0.500000,1592.368697
51.000000,0.500000,1638.353706
52.000000,0.500000,1684.927025
53.000000,0.500000,1732.103165
54.000000,0.500000,1779.854245
55.000000,0.500000,1828.176139
56.000000,0.500000,1877.068847
57.000000,0.500000,1926.532369
58.000000,0.500000,1976.988064
59.000000,0.500000,2028.458652
60.000000,0.500000,2080.501213
61.000000,0.500000,2133.115745
62.000000,0.500000,2186.302249
63.000000,0.500000,2241.421375
64.000000,0.500000,2298.821730
65.000000,0.500000,2356.824079
66.000000,0.500000,2415.428423
67.000000,0.500000,2474.762109
68.000000,0.500000,2537.797666
69.000000,0.500000,2601.857275
70.000000,0.500000,2666.561598
71.000000,0.500000,2731.916629
72.000000,0.500000,2801.282929
73.000000,0.500000,2871.828062
74.000000,0.500000,2943.059838
26.000000,1.000000,636.612948
27.000000,1.000000,670.409117
28.000000,1.000000,704.994718
29.000000,1.000000,740.369751
30.000000,1.000000,776.534214
31.000000,1.000000,813.488110
32.000000,1.000000,851.231436
33.000000,1.000000,889.403273
34.000000,1.000000,926.798336
35.000000,1.000000,964.882819
36.000000,1.000000,1003.656723
37.000000,1.000000,1043.120047
38.000000,1.000000,1083.272791
39.000000,1.000000,1124.114955
40.000000,1.000000,1165.219399
41.000000,1.000000,1206.106564
42.000000,1.000000,1247.624037
43.000000,1.000000,1289.771819
44.000000,1.000000,1332.549909
45.000000,1.000000,1375.958307
46.000000,1.000000,1419.992518
47.000000,1.000000,1463.747504
48.000000,1.000000,1508.091807
49.000000,1.000000,1553.025427
50.000000,1.000000,1598.548363
51.000000,1.000000,1644.660615
52.000000,1.000000,1691.362839
53.000000,1.000000,1738.650136
54.000000,1.000000,1786.509276
55.000000,1.000000,1834.940258
56.000000,1.000000,1883.943082
57.000000,1.000000,1933.517748
58.000000,1.000000,1984.188325
59.000000,1.000000,2035.728225
60.000000,1.000000,2087.840380
61.000000,1.000000,2140.524791
62.000000,1.000000,2193.781457
63.000000,1.000000,2249.396499
64.000000,1.000000,2306.851253
65.000000,1.000000,2364.907817
66.000000,1.000000,2423.566192
67.000000,1.000000,2483.081191
68.000000,1.000000,2546.465610
69.000000,1.000000,2610.493494
70.000000,1.000000,2675.164843
71.000000,1.000000,2740.491653
72.000000,1.000000,2810.380717
73.000000,1.000000,2880.955820
74.000000,1.000000,2952.216961
26.000000,1.500000,639.732934
27.000000,1.500000,673.677145
28.000000,1.500000,708.414333
29.000000,1.500000,743.944497
30.000000,1.500000,780.267639
31.000000,1.500000,817.383757
32.000000,1.500000,855.292852
33.000000,1.500000,893.425383
34.000000,1.500000,930.982960
35.000000,1.500000,969.233068
36.000000,1.500000,1008.175706
37.000000,1.500000,1047.810874
38.000000,1.500000,1088.138573
39.000000,1.500000,1129.158802
40.000000,1.500000,1170.250978
41.000000,1.500000,1211.267419
42.000000,1.500000,1252.915953
43.000000,1.500000,1295.196578
44.000000,1.500000,1338.109296
45.000000,1.500000,1381.654106
46.000000,1.500000,1425.702468
47.000000,1.500000,1469.579652
48.000000,1.500000,1514.047602
49.000000,1.500000,1559.106321
50.000000,1.500000,1604.755806
51.000000,1.500000,1650.996058
52.000000,1.500000,1697.820514
53.000000,1.500000,1745.215677
54.000000,1.500000,1793.183723
55.000000,1.500000,1841.724652
56.000000,1.500000,1890.838463
57.000000,1.500000,1940.525156
58.000000,1.500000,1991.388472
59.000000,1.500000,2043.000383
60.000000,1.500000,2095.184878
61.000000,1.500000,2147.941956
62.000000,1.500000,2201.271619
63.000000,1.500000,2257.372733
64.000000,1.500000,2314.881807
65.000000,1.500000,2372.992507
66.000000,1.500000,2431.704831
67.000000,1.500000,2491.732291
68.000000,1.500000,2555.087345
69.000000,1.500000,2619.084638
70.000000,1.500000,2683.724169
