weight_g,219.000000
thrust_N,velocity_m_s,power_W
30.000000,0.000000,881.537628
31.000000,0.000000,917.926175
32.000000,0.000000,955.005642
33.000000,0.000000,992.776029
34.000000,0.000000,1031.237334
35.000000,0.000000,1070.389559
36.000000,0.000000,1110.232703
37.000000,0.000000,1150.766766
38.000000,0.000000,1191.991748
39.000000,0.000000,1232.135528
40.000000,0.000000,1271.912516
41.000000,0.000000,1312.278574
42.000000,0.000000,1353.233703
43.000000,0.000000,1394.777904
44.000000,0.000000,1436.911175
45.000000,0.000000,1479.633518
46.000000,0.000000,1522.944932
47.000000,0.000000,1565.626494
48.000000,0.000000,1608.062043
49.000000,0.000000,1651.023426
50.000000,0.000000,1694.510644
51.000000,0.000000,1738.523696
52.000000,0.000000,1783.062583
53.000000,0.000000,1828.127303
54.000000,0.000000,1873.405351
55.000000,0.000000,1917.814745
56.000000,0.000000,1962.701219
57.000000,0.000000,2008.064772
58.000000,0.000000,2053.905404
59.000000,0.000000,2100.223116
60.000000,0.000000,2147.017908
61.000000,0.000000,2193.990582
62.000000,0.000000,2240.432249
63.000000,0.000000,2287.317787
64.000000,0.000000,2334.647196
65.000000,0.000000,2382.420478
66.000000,0.000000,2430.637631
67.000000,0.000000,2479.298656
68.000000,0.000000,2528.034346
69.000000,0.000000,2576.999440
70.000000,0.000000,2626.391568
71.000000,0.000000,2676.210732
72.000000,0.000000,2726.456930
73.000000,0.000000,2777.130163
74.000000,0.000000,2828.149667
75.000000,0.000000,2879.479630
76.000000,0.000000,2931.220594
77.000000,0.000000,2983.372558
78.000000,0.000000,3035.935522
79.000000,0.000000,3088.909487
80.000000,0.000000,3143.179729
81.000000,0.000000,3198.432135
82.000000,0.000000,3254.105565
83.000000,0.000000,3310.200018
84.000000,0.000000,3366.715494
85.000000,0.000000,3424.245713
86.000000,0.000000,3483.876934
87.000000,0.000000,3543.941777
88.000000,0.000000,3604.440243
89.000000,0.000000,3665.372330
90.000000,0.000000,3726.832523
91.000000,0.000000,3788.867370
92.000000,0.000000,3851.337893
93.000000,0.000000,3914.244091
94.000000,0.000000,3977.585965
95.000000,0.000000,4048.278077
96.000000,0.000000,4121.983883
97.000000,0.000000,4196.200662
98.000000,0.000000,4270.928413
99.000000,0.000000,4346.167137
100.000000,0.000000,4421.916834
30.000000,0.500000,886.924385
31.000000,0.500000,923.537536
32.000000,0.500000,960.845919
33.000000,0.500000,998.849533
34.000000,0.500000,1037.548379
35.000000,0.500000,1076.942457
36.000000,0.500000,1117.031767
37.000000,0.500000,1157.816308
38.000000,0.500000,1199.296082
39.000000,0.500000,1239.163057
40.000000,0.500000,1279.136444
41.000000,0.500000,1319.701582
42.000000,0.500000,1360.858470
43.000000,0.500000,1402.607108
44.000000,0.500000,1444.947496
45.000000,0.500000,1487.879633
46.000000,0.500000,1531.403521
47.000000,0.500000,1573.866433
48.000000,0.500000,1616.465382
49.000000,0.500000,1659.591819
50.000000,0.500000,1703.245746
51.000000,0.500000,1747.427163
52.000000,0.500000,1792.136068
53.000000,0.500000,1837.372463
54.000000,0.500000,1882.493522
55.000000,0.500000,1927.087314
56.000000,0.500000,1972.159992
57.000000,0.500000,2017.711557
58.000000,0.500000,2063.742009
59.000000,0.500000,2110.251348
60.000000,0.500000,2157.239574
61.000000,0.500000,2204.110681
62.000000,0.500000,2250.716033
63.000000,0.500000,2297.766568
64.000000,0.500000,2345.262286
65.000000,0.500000,2393.203186
66.000000,0.500000,2441.589269
67.000000,0.500000,2490.392073
68.000000,0.500000,2539.188022
69.000000,0.500000,2588.312988
70.000000,0.500000,2637.866115
71.000000,0.500000,2687.847400
72.000000,0.500000,2738.256846
73.000000,0.500000,2789.094452
74.000000,0.500000,2840.233374
75.000000,0.500000,2891.724397
76.000000,0.500000,2943.627503
77.000000,0.500000,2995.942692
78.000000,0.500000,3048.669965
79.000000,0.500000,3101.872232
80.000000,0.500000,3156.571922
81.000000,0.500000,3211.974261
82.000000,0.500000,3267.798409
83.000000,0.500000,3324.044367
84.000000,0.500000,3380.712133
85.000000,0.500000,3438.898884
86.000000,0.500000,3498.621535
87.000000,0.500000,3558.777964
88.000000,0.500000,3619.368170
89.000000,0.500000,3680.392155
90.000000,0.500000,3742.060259
91.000000,0.500000,3804.255440
