weight_g,450.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,1460.169167
21.000000,0.000000,1545.071812
22.000000,0.000000,1632.306637
23.000000,0.000000,1721.873643
24.000000,0.000000,1813.772829
25.000000,0.000000,1907.119165
26.000000,0.000000,1998.456571
27.000000,0.000000,2091.853055
28.000000,0.000000,2187.308616
29.000000,0.000000,2284.823253
30.000000,0.000000,2384.098522
31.000000,0.000000,2484.625790
32.000000,0.000000,2587.122782
33.000000,0.000000,2691.589499
34.000000,0.000000,2798.244250
35.000000,0.000000,2908.812692
36.000000,0.000000,3021.373353
37.000000,0.000000,3135.926233
38.000000,0.000000,3254.971000
39.000000,0.000000,3378.380122
40.000000,0.000000,3503.873308
41.000000,0.000000,3633.796671
42.000000,0.000000,3768.654850
43.000000,0.000000,3905.695444
44.000000,0.000000,4052.134580
45.000000,0.000000,4203.106873
46.000000,0.000000,4358.479890
47.000000,0.000000,4518.641505
48.000000,0.000000,4683.353984
49.000000,0.000000,4854.809945
50.000000,0.000000,5031.755869
51.000000,0.000000,5216.210319
52.000000,0.000000,5408.721237
53.000000,0.000000,5608.074059
54.000000,0.000000,5815.595221
55.000000,0.000000,6033.059838
56.000000,0.000000,6265.103074
57.000000,0.000000,6500.795572
20.000000,0.500000,1461.671125
21.000000,0.500000,1546.662000
22.000000,0.500000,1633.987980
23.000000,0.500000,1723.649064
24.000000,0.500000,1815.645253
25.000000,0.500000,1908.900273
26.000000,0.500000,2000.325199
27.000000,0.500000,2093.811711
28.000000,0.500000,2189.359809
29.000000,0.500000,2286.969493
30.000000,0.500000,2386.279189
31.000000,0.500000,2486.838179
32.000000,0.500000,2589.367043
33.000000,0.500000,2693.865781
34.000000,0.500000,2800.631182
35.000000,0.500000,2911.246071
36.000000,0.500000,3023.853865
37.000000,0.500000,3138.454564
38.000000,0.500000,3257.676915
39.000000,0.500000,3381.075875
40.000000,0.500000,3506.558120
41.000000,0.500000,3636.614301
42.000000,0.500000,3771.433461
43.000000,0.500000,3908.433632
44.000000,0.500000,4055.175958
45.000000,0.500000,4206.211559
46.000000,0.500000,4361.711337
47.000000,0.500000,4521.822718
48.000000,0.500000,4686.691605
49.000000,0.500000,4858.218502
50.000000,0.500000,5035.348512
51.000000,0.500000,5219.672990
52.000000,0.500000,5412.383507
53.000000,0.500000,5611.794317
54.000000,0.500000,5819.256759
55.000000,0.500000,6036.985054
56.000000,0.500000,6269.069955
57.000000,0.500000,6504.804556
20.000000,1.000000,1463.173167
21.000000,1.000000,1548.252328
22.000000,1.000000,1635.669518
23.000000,1.000000,1725.424740
24.000000,1.000000,1817.517992
25.000000,1.000000,1910.681471
26.000000,1.000000,2002.193971
27.000000,1.000000,2095.770567
28.000000,1.000000,2191.411260
29.000000,1.000000,2289.116050
30.000000,1.000000,2388.460020
31.000000,1.000000,2489.050756
32.000000,1.000000,2591.611516
33.000000,1.000000,2696.142301
34.000000,1.000000,2803.018266
35.000000,1.000000,2913.679631
36.000000,1.000000,3026.334587
37.000000,1.000000,3140.983133
38.000000,1.000000,3260.383022
39.000000,1.000000,3383.771844
40.000000,1.000000,3509.243172
41.000000,1.000000,3639.432152
42.000000,1.000000,3774.212307
43.000000,1.000000,3911.172070
44.000000,1.000000,4058.217569
45.000000,1.000000,4209.316487
46.000000,1.000000,4364.943042
47.000000,1.000000,4525.004185
48.000000,1.000000,4690.029499
49.000000,1.000000,4861.627342
50.000000,1.000000,5038.941479
51.000000,1.000000,5223.135947
52.000000,1.000000,5416.046116
53.000000,1.000000,5615.514932
54.000000,1.000000,5822.918640
55.000000,1.000000,6040.910693
56.000000,1.000000,6273.037277
57.000000,1.000000,6508.814001
20.000000,1.500000,1464.677003
21.000000,1.500000,1549.843453
22.000000,1.500000,1637.350805
23.000000,1.500000,1727.199061
24.000000,1.500000,1819.388219
25.000000,1.500000,1912.460570
26.000000,1.500000,2004.063907
27.000000,1.500000,2097.733974
28.000000,1.500000,2193.470772
29.000000,1.500000,2291.274299
30.000000,1.500000,2390.643672
31.000000,1.500000,2491.263104
32.000000,1.500000,2593.852606
33.000000,1.500000,2698.412181
34.000000,1.500000,2805.398291
35.000000,1.500000,2916.108075
36.000000,1.500000,3028.812191
37.000000,1.500000,3143.510638
38.000000,1.500000,3263.080706
39.000000,1.500000,3386.459638
40.000000,1.500000,3511.920298
41.000000,1.500000,3642.238842
42.000000,1.500000,3776.980308
43.000000,1.500000,3913.899982
44.000000,1.500000,4061.259708
45.000000,1.500000,4212.421965
46.000000,1.500000,4368.162679
47.000000,1.500000,4528.173862
48.000000,1.500000,4693.368068
49.000000,1.500000,4865.036886
50.000000,1.500000,5042.514956
51.000000,1.500000,5226.581151
52.000000,1.500000,5419.709274
53.000000,1.500000,5619.275839
54.000000,1.500000,5826.559531
55.000000,1.500000,6044.836601
56.000000,1.500000,6277.004883
57.000000,1.500000,6512.823744
20.000000,2.000000,1466.180931
21.000000,2.000000,1551.434724
22.000000,2.000000,1639.032295
23.000000,2.000000,1728.973642
24.000000,2.000000,1821.258768
25.000000,2.000000,1914.239766
26.000000,2.000000,2005.933996
27.000000,2.000000,2099.697591
28.000000,2.000000,2195.530550
29.000000,2.000000,2293.432875
30.000000,2.000000,2392.827491
31.000000,2.000000,2493.475643
32.000000,2.000000,2596.093913
33.000000,2.000000,2700.682300
34.000000,2.000000,2807.778471
35.000000,2.000000,2918.536702
36.000000,2.000000,3031.290007
37.000000,2.000000,3146.038384
38.000000,2.000000,3265.778584
39.000000,2.000000,3389.147649
40.000000,2.000000,3514.597665
41.000000,2.000000,3645.045753
42.000000,2.000000,3779.748547
43.000000,2.000000,3916.628145
44.000000,2.000000,4064.302080
45.000000,2.000000,4215.527685
46.000000,2.000000,4371.382573
47.000000,2.000000,4531.343791
48.000000,2.000000,4696.706910
49.000000,2.000000,4868.446714
50.000000,2.000000,5046.088752
51.000000,2.000000,5230.026638
52.000000,2.000000,5423.372771
53.000000,2.000000,5623.037113
54.000000,2.000000,5830.200758
55.000000,2.000000,6048.762931
56.000000,2.000000,6280.972931
57.000000,2.000000,6516.833949
20.000000,2.500000,1467.686422
21.000000,2.500000,1553.026567
22.000000,2.500000,1640.713310
23.000000,2.500000,1730.746651
24.000000,2.500000,1823.126589
25.000000,2.500000,1916.017616
26.000000,2.500000,2007.806020
27.000000,2.500000,2101.666546
28.000000,2.500000,2197.599195
29.000000,2.500000,2295.603967
30.000000,2.500000,2395.013457
31.000000,2.500000,2495.687293
32.000000,2.500000,2598.331190
33.000000,2.500000,2702.945148
34.000000,2.500000,2810.152060
35.000000,2.500000,2920.960670
36.000000,2.500000,3033.765150
37.000000,2.500000,3148.565498
38.000000,2.500000,3268.468121
39.000000,2.500000,3391.827564
40.000000,2.500000,3517.267183
41.000000,2.500000,3647.841598
42.000000,2.500000,3782.506030
43.000000,2.500000,3919.345868
44.000000,2.500000,4067.344980
45.000000,2.500000,4218.633956
46.000000,2.500000,4374.590482
47.000000,2.500000,4534.502010
48.000000,2.500000,4700.046428
49.000000,2.500000,4871.857246
50.000000,2.500000,5049.643372
51.000000,2.500000,5233.454661
52.000000,2.500000,5427.036818
53.000000,2.500000,5626.848356
54.000000,2.500000,5833.821302
55.000000,2.500000,6052.689531
56.000000,2.500000,6284.941264
57.000000,2.500000,6520.844453
19.000000,3.000000,1386.114882
20.000000,3.000000,1469.192012
21.000000,3.000000,1554.618563
22.000000,3.000000,1642.394535
23.000000,3.000000,1732.519926
24.000000,3.000000,1824.994738
25.000000,3.000000,1917.795571
26.000000,3.000000,2009.678204
27.000000,3.000000,2103.635719
28.000000,3.000000,2199.668116
29.000000,3.000000,2297.775395
30.000000,3.000000,2397.199595
31.000000,3.000000,2497.899138
32.000000,3.000000,2600.568685
33.000000,3.000000,2705.208236
34.000000,3.000000,2812.525808
35.000000,3.000000,2923.384825
36.000000,3.000000,3036.240509
37.000000,3.000000,3151.092857
38.000000,3.000000,3271.157856
39.000000,3.000000,3394.507700
40.000000,3.000000,3519.936943
41.000000,3.000000,3650.637666
42.000000,3.000000,3785.263750
43.000000,3.000000,3922.063843
44.000000,3.000000,4070.388114
45.000000,3.000000,4221.740470
46.000000,3.000000,4377.798645
47.000000,3.000000,4537.660480
48.000000,3.000000,4703.386219
49.000000,3.000000,4875.268062
50.000000,3.000000,5053.198307
51.000000,3.000000,5236.882962
52.000000,3.000000,5430.701204
53.000000,3.000000,5630.659981
54.000000,3.000000,5837.442177
55.000000,3.000000,6056.616553
56.000000,3.000000,6288.910039
57.000000,3.000000,6524.855418
19.000000,3.500000,1387.539164
20.000000,3.500000,1470.698942
21.000000,3.500000,1556.210910
22.000000,3.500000,1644.075068
23.000000,3.500000,1734.291415
24.000000,3.500000,1826.859953
25.000000,3.500000,1919.572924
26.000000,3.500000,2011.553086
27.000000,3.500000,2105.611014
28.000000,3.500000,2201.746708
29.000000,3.500000,2299.960167
30.000000,3.500000,2399.387210
31.000000,3.500000,2500.109440
32.000000,3.500000,2602.801514
33.000000,3.500000,2707.463433
34.000000,3.500000,2814.893425
35.000000,3.500000,2925.804770
36.000000,3.500000,3038.713631
37.000000,3.500000,3153.620009
38.000000,3.500000,3273.839332
39.000000,3.500000,3397.179817
40.000000,3.500000,3522.598928
41.000000,3.500000,3653.422762
42.000000,3.500000,3788.010805
43.000000,3.500000,3924.771462
44.000000,3.500000,4073.431775
45.000000,3.500000,4224.847534
46.000000,3.500000,4380.994904
47.000000,3.500000,4540.807320
48.000000,3.500000,4706.726687
49.000000,3.500000,4878.679583
50.000000,3.500000,5056.734374
51.000000,3.500000,5240.294083
52.000000,3.500000,5434.366140
53.000000,3.500000,5634.449172
54.000000,3.500000,5841.042672
55.000000,3.500000,6060.543846
56.000000,3.500000,6292.879098
57.000000,3.500000,6528.866683
19.000000,4.000000,1388.963500
20.000000,4.000000,1472.205978
21.000000,4.000000,1557.803417
22.000000,4.000000,1645.755817
23.000000,4.000000,1736.063178
24.000000,4.000000,1828.725499
25.000000,4.000000,1921.350389
26.000000,4.000000,2013.428137
27.000000,4.000000,2107.586535
28.000000,4.000000,2203.825585
29.000000,4.000000,2302.145285
30.000000,4.000000,2401.575001
31.000000,4.000000,2502.319940
32.000000,4.000000,2605.034564
33.000000,4.000000,2709.718874
34.000000,4.000000,2817.261204
35.000000,4.000000,2928.224905
36.000000,4.000000,3041.186974
37.000000,4.000000,3156.147409
38.000000,4.000000,3276.521008
39.000000,4.000000,3399.852158
40.000000,4.000000,3525.261159
41.000000,4.000000,3656.208081
42.000000,4.000000,3790.758099
43.000000,4.000000,3927.479335
44.000000,4.000000,4076.475671
45.000000,4.000000,4227.954841
46.000000,4.000000,4384.191417
47.000000,4.000000,4543.954408
48.000000,4.000000,4710.067428
49.000000,4.000000,4882.091388
50.000000,4.000000,5060.270750
51.000000,4.000000,5243.705478
52.000000,4.000000,5438.031417
53.000000,4.000000,5638.238739
54.000000,4.000000,5844.643493
55.000000,4.000000,6064.471562
56.000000,4.000000,6296.848600
57.000000,4.000000,6532.878410
19.000000,4.500000,1390.389887
20.000000,4.500000,1473.714134
21.000000,4.500000,1559.396059
22.000000,4.500000,1647.435663
23.000000,4.500000,1737.832947
24.000000,4.500000,1830.587909
25.000000,4.500000,1923.127989
26.000000,4.500000,2015.306645
27.000000,4.500000,2109.568961
28.000000,4.500000,2205.914939
29.000000,4.500000,2304.344578
30.000000,4.500000,2403.763609
31.000000,4.500000,2504.528253
32.000000,4.500000,2607.262321
33.000000,4.500000,2711.965813
34.000000,4.500000,2819.623303
35.000000,4.500000,2930.641271
36.000000,4.500000,3043.658511
37.000000,4.500000,3158.675023
38.000000,4.500000,3279.194505
39.000000,4.500000,3402.516557
40.000000,4.500000,3527.915687
41.000000,4.500000,3658.982520
42.000000,4.500000,3793.494814
43.000000,4.500000,3930.404793
44.000000,4.500000,4079.520095
45.000000,4.500000,4231.062699
46.000000,4.500000,4387.376106
47.000000,4.500000,4547.089945
48.000000,4.500000,4713.408846
49.000000,4.500000,4885.503898
50.000000,4.500000,5063.788562
51.000000,4.500000,5247.099973
52.000000,4.500000,5441.697245
53.000000,4.500000,5642.006194
54.000000,4.500000,5848.224230
55.000000,4.500000,6068.399548
56.000000,4.500000,6300.818388
57.000000,4.500000,6536.890437
19.000000,5.000000,1391.816336
20.000000,5.000000,1475.222403
21.000000,5.000000,1560.988868
22.000000,5.000000,1649.115732
23.000000,5.000000,1739.602995
24.000000,5.000000,1832.450656
25.000000,5.000000,1924.905710
26.000000,5.000000,2017.185329
27.000000,5.000000,2111.551622
28.000000,5.000000,2208.004588
29.000000,5.000000,2306.544228
30.000000,5.000000,2405.952396
31.000000,5.000000,2506.736767
32.000000,5.000000,2609.490301
33.000000,5.000000,2714.212997
34.000000,5.000000,2821.985568
35.000000,5.000000,2933.057830
36.000000,5.000000,3046.130270
37.000000,5.000000,3161.202888
38.000000,5.000000,3281.868205
39.000000,5.000000,3405.181181
40.000000,5.000000,3530.570463
41.000000,5.000000,3661.757184
42.000000,5.000000,3796.231768
43.000000,5.000000,3933.330484
44.000000,5.000000,4082.564753
45.000000,5.000000,4234.170800
46.000000,5.000000,4390.561047
47.000000,5.000000,4550.225729
48.000000,5.000000,4716.750537
49.000000,5.000000,4888.916693
50.000000,5.000000,5067.306678
51.000000,5.000000,5250.494736
52.000000,5.000000,5445.363413
53.000000,5.000000,5645.774018
54.000000,5.000000,5851.805287
55.000000,5.000000,6072.327958
56.000000,5.000000,6304.788619
57.000000,5.000000,6540.902927
19.000000,5.500000,1393.275262
20.000000,5.500000,1476.769956
21.000000,5.500000,1562.628060
22.000000,5.500000,1650.849574
23.000000,5.500000,1741.434497
24.000000,5.500000,1834.382831
25.000000,5.500000,1926.745058
26.000000,5.500000,2019.115607
27.000000,5.500000,2113.575422
28.000000,5.500000,2210.124504
29.000000,5.500000,2308.762852
30.000000,5.500000,2408.141346
31.000000,5.500000,2508.942458
32.000000,5.500000,2611.712371
33.000000,5.500000,2716.451084
34.000000,5.500000,2824.342596
35.000000,5.500000,2935.471054
36.000000,5.500000,3048.600649
37.000000,5.500000,3163.731380
38.000000,5.500000,3284.533806
39.000000,5.500000,3407.837939
40.000000,5.500000,3533.217609
41.000000,5.500000,3664.554558
42.000000,5.500000,3799.032934
43.000000,5.500000,3936.434881
44.000000,5.500000,4085.677140
45.000000,5.500000,4237.290861
46.000000,5.500000,4393.734244
47.000000,5.500000,4553.350038
48.000000,5.500000,4720.092905
49.000000,5.500000,4892.330193
50.000000,5.500000,5070.806527
51.000000,5.500000,5253.872872
52.000000,5.500000,5449.030133
53.000000,5.500000,5649.520048
54.000000,5.500000,5855.366554
55.000000,5.500000,6076.256639
56.000000,5.500000,6308.759135
57.000000,5.500000,6544.915716
19.000000,6.000000,1394.734260
20.000000,6.000000,1478.317636
21.000000,6.000000,1564.267435
22.000000,6.000000,1652.583658
23.000000,6.000000,1743.266303
