weight_g,415.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,618.334804
37.000000,0.000000,642.090408
38.000000,0.000000,666.250076
39.000000,0.000000,690.813809
40.000000,0.000000,715.781605
41.000000,0.000000,741.153466
42.000000,0.000000,766.929390
43.000000,0.000000,793.109379
44.000000,0.000000,819.693432
45.000000,0.000000,846.681548
46.000000,0.000000,874.055021
47.000000,0.000000,900.500186
48.000000,0.000000,927.299184
49.000000,0.000000,954.452014
50.000000,0.000000,981.958677
51.000000,0.000000,1009.819173
52.000000,0.000000,1038.033501
53.000000,0.000000,1066.601661
54.000000,0.000000,1095.523654
55.000000,0.000000,1124.799480
56.000000,0.000000,1154.167575
57.000000,0.000000,1183.349325
58.000000,0.000000,1212.859427
59.000000,0.000000,1242.697878
60.000000,0.000000,1272.864681
61.000000,0.000000,1303.359834
62.000000,0.000000,1334.183337
63.000000,0.000000,1365.335191
64.000000,0.000000,1396.815396
65.000000,0.000000,1428.225138
66.000000,0.000000,1459.439085
67.000000,0.000000,1490.955259
68.000000,0.000000,1522.773660
69.000000,0.000000,1554.894289
70.000000,0.000000,1587.317144
71.000000,0.000000,1620.042227
72.000000,0.000000,1653.069536
73.000000,0.000000,1686.348963
74.000000,0.000000,1719.310763
75.000000,0.000000,1752.557527
76.000000,0.000000,1786.089257
77.000000,0.000000,1819.905953
78.000000,0.000000,1854.007614
79.000000,0.000000,1888.394240
80.000000,0.000000,1923.065832
81.000000,0.000000,1957.920052
82.000000,0.000000,1992.464863
83.000000,0.000000,2027.278360
84.000000,0.000000,2062.360541
85.000000,0.000000,2097.711407
86.000000,0.000000,2133.330958
87.000000,0.000000,2169.219193
88.000000,0.000000,2205.376113
89.000000,0.000000,2241.731809
90.000000,0.000000,2278.297527
91.000000,0.000000,2315.127845
92.000000,0.000000,2352.222761
93.000000,0.000000,2389.582275
94.000000,0.000000,2427.206388
95.000000,0.000000,2465.095099
96.000000,0.000000,2503.049902
97.000000,0.000000,2540.876898
98.000000,0.000000,2578.950914
99.000000,0.000000,2617.271948
100.000000,0.000000,2655.840001
36.000000,0.500000,623.168583
37.000000,0.500000,647.063479
38.000000,0.500000,671.364582
39.000000,0.500000,696.071892
40.000000,0.500000,721.185410
41.000000,0.500000,746.705135
42.000000,0.500000,772.631067
43.000000,0.500000,798.963207
44.000000,0.500000,825.701554
45.000000,0.500000,852.846108
46.000000,0.500000,880.072612
47.000000,0.500000,906.671976
48.000000,0.500000,933.627213
49.000000,0.500000,960.938324
50.000000,0.500000,988.605308
51.000000,0.500000,1016.628167
52.000000,0.500000,1045.006899
53.000000,0.500000,1073.741505
54.000000,0.500000,1102.831985
55.000000,0.500000,1132.278339
56.000000,0.500000,1161.608661
57.000000,0.500000,1190.950722
58.000000,0.500000,1220.622938
59.000000,0.500000,1250.625307
60.000000,0.500000,1280.957830
61.000000,0.500000,1311.620507
62.000000,0.500000,1342.613338
63.000000,0.500000,1373.936323
64.000000,0.500000,1405.588775
65.000000,0.500000,1436.885853
66.000000,0.500000,1468.236077
67.000000,0.500000,1499.889584
68.000000,0.500000,1531.846372
69.000000,0.500000,1564.106442
70.000000,0.500000,1596.669794
71.000000,0.500000,1629.536428
72.000000,0.500000,1662.706344
73.000000,0.500000,1695.942775
74.000000,0.500000,1729.056964
75.000000,0.500000,1762.457446
76.000000,0.500000,1796.144222
77.000000,0.500000,1830.117293
78.000000,0.500000,1864.376657
79.000000,0.500000,1898.922315
80.000000,0.500000,1933.754267
81.000000,0.500000,1968.545881
82.000000,0.500000,2003.235062
83.000000,0.500000,2038.193889
84.000000,0.500000,2073.422362
85.000000,0.500000,2108.920481
86.000000,0.500000,2144.688247
87.000000,0.500000,2180.725659
88.000000,0.500000,2217.020940
89.000000,0.500000,2253.503579
90.000000,0.500000,2290.224507
91.000000,0.500000,2327.211190
92.000000,0.500000,2364.463628
93.000000,0.500000,2401.981820
94.000000,0.500000,2439.765767
95.000000,0.500000,2477.810606
96.000000,0.500000,2515.710859
97.000000,0.500000,2553.670249
98.000000,0.500000,2591.877345
99.000000,0.500000,2630.332148
100.000000,0.500000,2669.034658
35.000000,1.000000,604.390438
36.000000,1.000000,628.016693
37.000000,1.000000,652.051303
38.000000,1.000000,676.494271
39.000000,1.000000,701.345594
40.000000,1.000000,726.605274
41.000000,1.000000,752.273310
42.000000,1.000000,778.349702
43.000000,1.000000,804.834450
44.000000,1.000000,831.727555
45.000000,1.000000,859.029015
46.000000,1.000000,886.106103
47.000000,1.000000,912.860104
48.000000,1.000000,939.972026
49.000000,1.000000,967.441869
50.000000,1.000000,995.269633
51.000000,1.000000,1023.455318
52.000000,1.000000,1051.998923
53.000000,1.000000,1080.900450
54.000000,1.000000,1110.159897
55.000000,1.000000,1139.777265
56.000000,1.000000,1169.068409
57.000000,1.000000,1198.571220
58.000000,1.000000,1228.405993
59.000000,1.000000,1258.572728
60.000000,1.000000,1289.071426
61.000000,1.000000,1319.902086
62.000000,1.000000,1351.064708
63.000000,1.000000,1382.559293
64.000000,1.000000,1414.384458
65.000000,1.000000,1445.566894
66.000000,1.000000,1477.053669
67.000000,1.000000,1508.844783
68.000000,1.000000,1540.940235
69.000000,1.000000,1573.340026
70.000000,1.000000,1606.044156
71.000000,1.000000,1639.052624
72.000000,1.000000,1672.365431
73.000000,1.000000,1705.557561
74.000000,1.000000,1738.824515
75.000000,1.000000,1772.379095
76.000000,1.000000,1806.221300
77.000000,1.000000,1840.351131
78.000000,1.000000,1874.768587
79.000000,1.000000,1909.473668
80.000000,1.000000,1944.466375
81.000000,1.000000,1979.193965
82.000000,1.000000,2014.027787
83.000000,1.000000,2049.132218
84.000000,1.000000,2084.507259
85.000000,1.000000,2120.152910
86.000000,1.000000,2156.069170
87.000000,1.000000,2192.256039
88.000000,1.000000,2228.689817
89.000000,1.000000,2265.299410
90.000000,1.000000,2302.175916
91.000000,1.000000,2339.319336
92.000000,1.000000,2376.729668
93.000000,1.000000,2414.406914
94.000000,1.000000,2452.351073
95.000000,1.000000,2490.552363
96.000000,1.000000,2528.395968
97.000000,1.000000,2566.487967
98.000000,1.000000,2604.828362
99.000000,1.000000,2643.417151
100.000000,1.000000,2682.254335
35.000000,1.500000,609.149642
36.000000,1.500000,632.915505
37.000000,1.500000,657.091904
38.000000,1.500000,681.678841
39.000000,1.500000,706.676314
40.000000,1.500000,732.084325
41.000000,1.500000,757.902872
42.000000,1.500000,784.131956
43.000000,1.500000,810.771577
44.000000,1.500000,837.821736
45.000000,1.500000,865.282431
46.000000,1.500000,892.214575
47.000000,1.500000,919.124634
48.000000,1.500000,946.394676
49.000000,1.500000,974.024701
50.000000,1.500000,1002.014708
51.000000,1.500000,1030.364697
52.000000,1.500000,1059.074668
53.000000,1.500000,1088.144622
54.000000,1.500000,1117.574559
55.000000,1.500000,1147.218063
56.000000,1.500000,1176.610842
57.000000,1.500000,1206.277002
58.000000,1.500000,1236.276966
59.000000,1.500000,1266.610735
60.000000,1.500000,1297.278308
