weight_g,685.000000
thrust_N,velocity_m_s,power_W
22.000000,0.000000,1943.752305
23.000000,0.000000,2041.918459
24.000000,0.000000,2142.413878
25.000000,0.000000,2245.238561
26.000000,0.000000,2350.392511
27.000000,0.000000,2462.683577
28.000000,0.000000,2583.976117
29.000000,0.000000,2707.869262
30.000000,0.000000,2834.363013
31.000000,0.000000,2977.212343
32.000000,0.000000,3124.833092
33.000000,0.000000,3280.952493
34.000000,0.000000,3454.211045
35.000000,0.000000,3637.421111
36.000000,0.000000,3841.083788
37.000000,0.000000,4058.335842
38.000000,0.000000,4292.101144
39.000000,0.000000,4554.991797
22.000000,0.500000,1949.820510
23.000000,0.500000,2048.209682
24.000000,0.500000,2148.931943
25.000000,0.500000,2251.987292
26.000000,0.500000,2357.375731
27.000000,0.500000,2470.562772
28.000000,0.500000,2591.947777
29.000000,0.500000,2715.931502
30.000000,0.500000,2842.547392
31.000000,0.500000,2986.411579
32.000000,0.500000,3134.150698
33.000000,0.500000,3291.513548
34.000000,0.500000,3464.901359
35.000000,0.500000,3649.599999
36.000000,0.500000,3853.526852
37.000000,0.500000,4071.538182
38.000000,0.500000,4306.993980
39.000000,0.500000,4572.788622
21.000000,1.000000,1859.622252
22.000000,1.000000,1955.897767
23.000000,1.000000,2054.510197
24.000000,1.000000,2155.459543
25.000000,1.000000,2258.745805
26.000000,1.000000,2364.368982
27.000000,1.000000,2478.453222
28.000000,1.000000,2599.930563
29.000000,1.000000,2724.004739
30.000000,1.000000,2850.742695
31.000000,1.000000,2995.623179
32.000000,1.000000,3143.480548
33.000000,1.000000,3302.088593
34.000000,1.000000,3475.605511
35.000000,1.000000,3661.794928
36.000000,1.000000,3865.985889
37.000000,1.000000,4084.757194
38.000000,1.000000,4321.907166
39.000000,1.000000,4590.612904
21.000000,1.500000,1865.508677
22.000000,1.500000,1962.004318
23.000000,1.500000,2060.840707
24.000000,1.500000,2162.017844
25.000000,1.500000,2265.535728
26.000000,1.500000,2371.394360
27.000000,1.500000,2486.333776
28.000000,1.500000,2607.902182
29.000000,1.500000,2732.065504
30.000000,1.500000,2859.823191
31.000000,1.500000,3004.824661
32.000000,1.500000,3152.801395
33.000000,1.500000,3312.652671
34.000000,1.500000,3486.298197
35.000000,1.500000,3673.998581
36.000000,1.500000,3878.445826
37.000000,1.500000,4097.879099
38.000000,1.500000,4336.830346
39.000000,1.500000,4608.172556
21.000000,2.000000,1871.403976
22.000000,2.000000,1968.119983
23.000000,2.000000,2067.180572
24.000000,2.000000,2168.585743
25.000000,2.000000,2272.335498
26.000000,2.000000,2378.429834
27.000000,2.000000,2494.225550
28.000000,2.000000,2615.884890
29.000000,2.000000,2740.137224
30.000000,2.000000,2868.916131
31.000000,2.000000,3014.038470
32.000000,2.000000,3162.134452
33.000000,2.000000,3323.230696
34.000000,2.000000,3497.004679
35.000000,2.000000,3686.218242
36.000000,2.000000,3890.921687
37.000000,2.000000,4111.017447
38.000000,2.000000,4351.773841
39.000000,2.000000,4625.758687
21.000000,2.500000,1877.729323
22.000000,2.500000,1974.626132
23.000000,2.500000,2073.869272
24.000000,2.500000,2175.458742
25.000000,2.500000,2279.394543
26.000000,2.500000,2385.676674
27.000000,2.500000,2502.262940
28.000000,2.500000,2623.973335
29.000000,2.500000,2748.273082
30.000000,2.500000,2878.042158
31.000000,2.500000,3023.268576
32.000000,2.500000,3171.466101
33.000000,2.500000,3333.797648
34.000000,2.500000,3507.699587
35.000000,2.500000,3698.443969
36.000000,2.500000,3903.475696
37.000000,2.500000,4124.058754
38.000000,2.500000,4366.724409
39.000000,2.500000,4643.087679
21.000000,3.000000,1884.064753
22.000000,3.000000,1981.142486
23.000000,3.000000,2080.568297
24.000000,3.000000,2182.342186
25.000000,3.000000,2286.464152
26.000000,3.000000,2392.934197
27.000000,3.000000,2510.311963
28.000000,3.000000,2632.073166
29.000000,3.000000,2756.420075
30.000000,3.000000,2887.180732
31.000000,3.000000,3032.511054
32.000000,3.000000,3180.809946
33.000000,3.000000,3344.378504
34.000000,3.000000,3518.408249
35.000000,3.000000,3710.685663
36.000000,3.000000,3916.045704
37.000000,3.000000,4137.116279
38.000000,3.000000,4381.695244
39.000000,3.000000,4660.442219
21.000000,3.500000,1890.811764
22.000000,3.500000,1988.092632
23.000000,3.500000,2087.724211
24.000000,3.500000,2189.706502
25.000000,3.500000,2294.039504
26.000000,3.500000,2400.723218
27.000000,3.500000,2518.911638
28.000000,3.500000,2640.735142
29.000000,3.500000,2765.141257
30.000000,3.500000,2897.006265
31.000000,3.500000,3042.556989
32.000000,3.500000,3191.076973
33.000000,3.500000,3355.866959
34.000000,3.500000,3529.806569
35.000000,3.500000,3723.666832
36.000000,3.500000,3929.971421
37.000000,3.500000,4150.928269
38.000000,3.500000,4397.794872
39.000000,3.500000,4678.997979
21.000000,4.000000,1897.570079
22.000000,4.000000,1995.054280
23.000000,4.000000,2094.891824
24.000000,4.000000,2197.082711
25.000000,4.000000,2301.626942
26.000000,4.000000,2408.524515
27.000000,4.000000,2527.524619
28.000000,4.000000,2649.410192
29.000000,4.000000,2773.875272
30.000000,4.000000,2906.846426
31.000000,4.000000,3052.617597
32.000000,4.000000,3201.358721
33.000000,4.000000,3367.371925
34.000000,4.000000,3541.220747
35.000000,4.000000,3736.666321
36.000000,4.000000,3943.916551
37.000000,4.000000,4164.758772
38.000000,4.000000,4413.918144
39.000000,4.000000,4697.582920
21.000000,4.500000,1904.351691
22.000000,4.500000,2002.039740
23.000000,4.500000,2102.083701
24.000000,4.500000,2204.483575
25.000000,4.500000,2309.239362
26.000000,4.500000,2416.898157
27.000000,4.500000,2536.116376
28.000000,4.500000,2658.064098
29.000000,4.500000,2782.588242
30.000000,4.500000,2916.702116
31.000000,4.500000,3062.694849
32.000000,4.500000,3211.658365
33.000000,4.500000,3378.829855
34.000000,4.500000,3552.611721
35.000000,4.500000,3749.786672
36.000000,4.500000,3957.950610
37.000000,4.500000,4178.732388
38.000000,4.500000,4430.520263
39.000000,4.500000,4716.588192
21.000000,5.000000,1911.144689
22.000000,5.000000,2009.036778
23.000000,5.000000,2109.287347
24.000000,5.000000,2211.896397
25.000000,5.000000,2316.863926
26.000000,5.000000,2425.285070
27.000000,5.000000,2544.721375
28.000000,5.000000,2666.731011
29.000000,5.000000,2791.313979
30.000000,5.000000,2926.572448
31.000000,5.000000,3072.786797
32.000000,5.000000,3221.972760
33.000000,5.000000,3390.304233
34.000000,5.000000,3564.018571
35.000000,5.000000,3762.925686
36.000000,5.000000,3972.004421
37.000000,5.000000,4192.724997
38.000000,5.000000,4447.147376
39.000000,5.000000,4735.623738
21.000000,5.500000,1918.079569
22.000000,5.500000,2016.184302
23.000000,5.500000,2116.649776
24.000000,5.500000,2219.475991
25.000000,5.500000,2324.662947
26.000000,5.500000,2433.959243
27.000000,5.500000,2553.476410
28.000000,5.500000,2675.563518
29.000000,5.500000,2800.220565
30.000000,5.500000,2936.639961
31.000000,5.500000,3082.980817
32.000000,5.500000,3232.434049
33.000000,5.500000,3401.701559
34.000000,5.500000,3575.346094
35.000000,5.500000,3776.079772
36.000000,5.500000,3985.970350
37.000000,5.500000,4206.628123
38.000000,5.500000,4463.870257
39.000000,5.500000,4754.454493
21.000000,6.000000,1925.026566
22.000000,6.000000,2023.344105
23.000000,6.000000,2124.024647
24.000000,6.000000,2227.068191
25.000000,6.000000,2332.474739
26.000000,6.000000,2442.647466
27.000000,6.000000,2562.245238
28.000000,6.000000,2684.409558
29.000000,6.000000,2809.140425
30.000000,6.000000,2946.722616
31.000000,6.000000,3093.189774
32.000000,6.000000,3242.910347
33.000000,6.000000,3413.115156
34.000000,6.000000,3586.689314
35.000000,6.000000,3789.252492
36.000000,6.000000,3999.955795
37.000000,6.000000,4220.550010
38.000000,6.000000,4480.618246
39.000000,6.000000,4773.314596
21.000000,6.500000,1932.023337
22.000000,6.500000,2030.581691
23.000000,6.500000,2131.506760
24.000000,6.500000,2234.798544
25.000000,6.500000,2340.457042
26.000000,6.500000,2451.560511
27.000000,6.500000,2571.443952
28.000000,6.500000,2693.897927
29.000000,6.500000,2818.922434
30.000000,6.500000,2957.868694
31.000000,6.500000,3104.469552
32.000000,6.500000,3255.524436
33.000000,6.500000,3425.593191
34.000000,6.500000,3600.378281
35.000000,6.500000,3803.602914
36.000000,6.500000,4014.984692
37.000000,6.500000,4236.248254
38.000000,6.500000,4498.501532
39.000000,6.500000,4792.820644
21.000000,7.000000,1939.032372
22.000000,7.000000,2037.831810
23.000000,7.000000,2139.001676
24.000000,7.000000,2242.541970
25.000000,7.000000,2348.452692
26.000000,7.000000,2460.488446
27.000000,7.000000,2580.657861
28.000000,7.000000,2703.401797
29.000000,7.000000,2828.720254
30.000000,7.000000,2969.033024
31.000000,7.000000,3115.767390
32.000000,7.000000,3268.158785
33.000000,7.000000,3438.090579
34.000000,7.000000,3614.088519
35.000000,7.000000,3817.975171
36.000000,7.000000,4030.035952
37.000000,7.000000,4251.969964
38.000000,7.000000,4516.413116
39.000000,7.000000,4812.357808
21.000000,7.500000,1946.345067
22.000000,7.500000,2045.331263
23.000000,7.500000,2146.688679
24.000000,7.500000,2250.417317
25.000000,7.500000,2356.517175
26.000000,7.500000,2469.459348
27.000000,7.500000,2589.913716
28.000000,7.500000,2712.946535
29.000000,7.500000,2838.557804
30.000000,7.500000,2980.200008
31.000000,7.500000,3127.088690
32.000000,7.500000,3280.787870
33.000000,7.500000,3450.692109
34.000000,7.500000,3628.537595
35.000000,7.500000,3832.898509
36.000000,7.500000,4045.725321
37.000000,7.500000,4270.402127
38.000000,7.500000,4535.599115
39.000000,7.500000,4833.026852
20.000000,8.000000,1856.870072
21.000000,8.000000,1953.671072
22.000000,8.000000,2052.844084
23.000000,8.000000,2154.389108
24.000000,8.000000,2258.306146
25.000000,8.000000,2364.595196
26.000000,8.000000,2478.445237
27.000000,8.000000,2599.184858
28.000000,8.000000,2722.506862
29.000000,8.000000,2848.411248
