weight_g,60.000000
thrust_N,velocity_m_s,power_W
42.000000,0.000000,2006.533519
43.000000,0.000000,2093.590999
44.000000,0.000000,2182.487744
45.000000,0.000000,2273.223752
46.000000,0.000000,2365.799024
47.000000,0.000000,2460.213560
48.000000,0.000000,2556.467359
49.000000,0.000000,2654.560423
50.000000,0.000000,2754.492750
51.000000,0.000000,2856.264341
52.000000,0.000000,2959.875196
53.000000,0.000000,3065.325315
54.000000,0.000000,3172.614698
55.000000,0.000000,3281.537425
56.000000,0.000000,3392.006634
57.000000,0.000000,3504.297931
58.000000,0.000000,3618.411317
59.000000,0.000000,3734.346791
60.000000,0.000000,3852.104352
61.000000,0.000000,3971.684002
62.000000,0.000000,4093.085741
63.000000,0.000000,4216.309567
64.000000,0.000000,4341.355481
65.000000,0.000000,4468.223484
66.000000,0.000000,4596.768661
67.000000,0.000000,4726.088759
68.000000,0.000000,4857.196300
69.000000,0.000000,4990.091285
70.000000,0.000000,5124.773714
71.000000,0.000000,5261.243586
72.000000,0.000000,5399.500902
73.000000,0.000000,5539.545662
74.000000,0.000000,5681.377864
75.000000,0.000000,5824.997511
76.000000,0.000000,5970.404601
77.000000,0.000000,6117.599135
78.000000,0.000000,6266.581112
79.000000,0.000000,6417.350533
80.000000,0.000000,6569.907397
81.000000,0.000000,6724.251705
82.000000,0.000000,6880.383456
83.000000,0.000000,7038.302651
84.000000,0.000000,7198.009290
85.000000,0.000000,7359.503372
86.000000,0.000000,7522.784897
87.000000,0.000000,7687.750392
88.000000,0.000000,7854.454496
89.000000,0.000000,8022.941837
90.000000,0.000000,8193.212416
91.000000,0.000000,8365.266232
92.000000,0.000000,8539.103286
93.000000,0.000000,8714.723577
94.000000,0.000000,8892.127107
95.000000,0.000000,9071.313873
96.000000,0.000000,9252.239094
97.000000,0.000000,9434.854764
98.000000,0.000000,9619.250203
99.000000,0.000000,9805.425413
100.000000,0.000000,9993.380393
42.000000,0.500000,2034.608676
43.000000,0.500000,2122.568836
44.000000,0.500000,2212.380987
45.000000,0.500000,2304.045128
46.000000,0.500000,2397.561260
47.000000,0.500000,2492.929382
48.000000,0.500000,2590.149495
49.000000,0.500000,2689.221598
50.000000,0.500000,2790.145691
51.000000,0.500000,2892.921776
52.000000,0.500000,2997.549850
53.000000,0.500000,3104.029915
54.000000,0.500000,3212.347476
55.000000,0.500000,3322.185671
56.000000,0.500000,3433.720014
57.000000,0.500000,3547.089237
58.000000,0.500000,3662.293341
59.000000,0.500000,3779.332326
60.000000,0.500000,3898.206192
61.000000,0.500000,4018.914940
62.000000,0.500000,4141.458568
63.000000,0.500000,4265.837077
64.000000,0.500000,4392.050468
65.000000,0.500000,4520.098739
66.000000,0.500000,4649.370895
67.000000,0.500000,4779.829265
68.000000,0.500000,4912.086251
69.000000,0.500000,5046.141856
70.000000,0.500000,5181.996077
71.000000,0.500000,5319.648916
72.000000,0.500000,5459.100373
73.000000,0.500000,5600.350446
74.000000,0.500000,5743.399137
75.000000,0.500000,5888.246446
76.000000,0.500000,6034.892372
77.000000,0.500000,6183.336915
78.000000,0.500000,6333.580076
79.000000,0.500000,6485.621854
80.000000,0.500000,6639.462249
81.000000,0.500000,6795.101262
82.000000,0.500000,6952.538892
83.000000,0.500000,7111.775139
84.000000,0.500000,7272.810004
85.000000,0.500000,7435.643486
86.000000,0.500000,7600.212231
87.000000,0.500000,7766.463314
88.000000,0.500000,7934.485229
89.000000,0.500000,8104.300459
90.000000,0.500000,8275.909006
91.000000,0.500000,8449.310869
92.000000,0.500000,8624.506048
93.000000,0.500000,8801.494543
94.000000,0.500000,8980.276354
95.000000,0.500000,9160.826095
96.000000,0.500000,9343.042425
97.000000,0.500000,9527.002392
98.000000,0.500000,9712.750973
99.000000,0.500000,9900.288170
100.000000,0.500000,10089.613981
42.000000,1.000000,2062.876835
43.000000,1.000000,2151.743810
44.000000,1.000000,2242.475547
45.000000,1.000000,2335.072044
46.000000,1.000000,2429.533302
47.000000,1.000000,2525.859322
48.000000,1.000000,2624.050102
49.000000,1.000000,2724.105643
50.000000,1.000000,2826.025945
51.000000,1.000000,2929.811009
52.000000,1.000000,3035.460833
53.000000,1.000000,3142.975418
54.000000,1.000000,3252.325580
55.000000,1.000000,3363.082075
56.000000,1.000000,3475.686289
57.000000,1.000000,3590.138222
58.000000,1.000000,3706.437874
59.000000,1.000000,3824.585244
60.000000,1.000000,3944.580333
61.000000,1.000000,4066.423140
62.000000,1.000000,4190.113666
63.000000,1.000000,4315.651911
64.000000,1.000000,4443.037874
65.000000,1.000000,4572.271556
66.000000,1.000000,4702.270196
67.000000,1.000000,4833.871401
68.000000,1.000000,4967.282432
69.000000,1.000000,5102.503288
70.000000,1.000000,5239.533971
71.000000,1.000000,5378.374479
72.000000,1.000000,5519.024814
73.000000,1.000000,5661.484974
74.000000,1.000000,5805.754961
75.000000,1.000000,5951.834773
76.000000,1.000000,6099.724412
77.000000,1.000000,6249.423876
78.000000,1.000000,6400.933167
79.000000,1.000000,6554.252283
80.000000,1.000000,6709.381226
81.000000,1.000000,6866.319994
82.000000,1.000000,7025.068588
83.000000,1.000000,7185.627009
84.000000,1.000000,7347.995255
85.000000,1.000000,7512.173327
86.000000,1.000000,7678.033702
87.000000,1.000000,7845.574782
88.000000,1.000000,8014.919286
89.000000,1.000000,8186.067212
90.000000,1.000000,8359.018561
91.000000,1.000000,8533.773333
92.000000,1.000000,8710.331527
93.000000,1.000000,8888.693145
94.000000,1.000000,9068.858185
95.000000,1.000000,9250.775568
96.000000,1.000000,9434.286758
97.000000,1.000000,9619.595429
98.000000,1.000000,9806.701582
99.000000,1.000000,9995.605215
100.000000,1.000000,10186.306330
42.000000,1.500000,2091.738820
43.000000,1.500000,2181.518435
44.000000,1.500000,2273.175344
45.000000,1.500000,2366.709548
46.000000,1.500000,2462.121046
47.000000,1.500000,2559.409839
48.000000,1.500000,2658.575927
49.000000,1.500000,2759.619309
50.000000,1.500000,2862.539987
51.000000,1.500000,2967.337958
52.000000,1.500000,3074.013225
53.000000,1.500000,3182.565786
54.000000,1.500000,3292.818373
55.000000,1.500000,3404.639963
56.000000,1.500000,3518.322037
57.000000,1.500000,3633.864597
58.000000,1.500000,3751.267641
59.000000,1.500000,3870.531170
60.000000,1.500000,3991.655184
61.000000,1.500000,4114.639682
62.000000,1.500000,4239.484666
63.000000,1.500000,4366.190133
64.000000,1.500000,4494.756086
65.000000,1.500000,4624.806062
66.000000,1.500000,4755.845689
67.000000,1.500000,4888.602190
68.000000,1.500000,5023.179832
69.000000,1.500000,5159.578617
70.000000,1.500000,5297.798543
71.000000,1.500000,5437.839611
72.000000,1.500000,5579.701822
73.000000,1.500000,5723.385174
74.000000,1.500000,5868.889668
75.000000,1.500000,6016.215305
76.000000,1.500000,6165.362083
77.000000,1.500000,6316.330003
78.000000,1.500000,6469.119066
79.000000,1.500000,6623.729270
80.000000,1.500000,6780.160616
81.000000,1.500000,6938.413104
82.000000,1.500000,7098.486734
83.000000,1.500000,7260.381506
84.000000,1.500000,7424.097421
85.000000,1.500000,7589.581092
86.000000,1.500000,7756.702267
87.000000,1.500000,7925.575451
88.000000,1.500000,8096.262401
89.000000,1.500000,8268.763116
90.000000,1.500000,8443.077597
91.000000,1.500000,8619.205843
92.000000,1.500000,8797.147855
93.000000,1.500000,8976.903632
94.000000,1.500000,9158.460747
95.000000,1.500000,9341.619503
96.000000,1.500000,9526.482212
97.000000,1.500000,9713.151337
98.000000,1.500000,9901.626877
99.000000,1.500000,10091.908833
100.000000,1.500000,10283.997205
41.000000,2.000000,2031.992787
42.000000,2.000000,2120.799271
43.000000,2.000000,2211.495626
44.000000,2.000000,2304.081850
45.000000,2.000000,2398.557946
46.000000,2.000000,2494.923911
47.000000,2.000000,2593.179747
48.000000,2.000000,2693.325453
49.000000,2.000000,2795.361029
50.000000,2.000000,2899.286475
51.000000,2.000000,3005.101792
52.000000,2.000000,3112.806979
53.000000,2.000000,3222.402036
54.000000,2.000000,3333.559645
55.000000,2.000000,3446.451029
56.000000,2.000000,3561.215708
57.000000,2.000000,3677.853681
58.000000,2.000000,3796.364949
59.000000,2.000000,3916.749512
60.000000,2.000000,4039.007370
61.000000,2.000000,4163.138522
62.000000,2.000000,4289.142969
63.000000,2.000000,4417.020711
64.000000,2.000000,4546.771747
65.000000,2.000000,4677.638556
66.000000,2.000000,4809.722485
67.000000,2.000000,4943.638907
68.000000,2.000000,5079.387823
69.000000,2.000000,5216.969231
70.000000,2.000000,5356.383133
71.000000,2.000000,5497.629528
72.000000,2.000000,5640.708416
73.000000,2.000000,5785.619797
74.000000,2.000000,5932.363672
75.000000,2.000000,6080.940040
76.000000,2.000000,6231.348901
77.000000,2.000000,6383.590255
78.000000,2.000000,6537.664102
79.000000,2.000000,6693.570443
80.000000,2.000000,6851.309277
81.000000,2.000000,7010.880604
82.000000,2.000000,7172.284424
83.000000,2.000000,7335.520738
84.000000,2.000000,7500.589545
85.000000,2.000000,7667.383434
86.000000,2.000000,7835.769460
87.000000,2.000000,8005.979623
88.000000,2.000000,8178.013924
89.000000,2.000000,8351.872363
90.000000,2.000000,8527.554940
91.000000,2.000000,8705.061655
92.000000,2.000000,8884.392507
93.000000,2.000000,9065.547497
94.000000,2.000000,9248.501627
95.000000,2.000000,9432.904916
96.000000,2.000000,9619.123577
97.000000,2.000000,9807.157610
98.000000,2.000000,9997.007014
99.000000,2.000000,10188.671791
100.000000,2.000000,10382.151940
41.000000,2.500000,2061.417775
42.000000,2.500000,2151.152149
43.000000,2.500000,2242.788874
44.000000,2.500000,2336.327950
45.000000,2.500000,2431.769376
46.000000,2.500000,2529.113152
