weight_g,219.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,1076.978830
26.000000,0.000000,1128.171299
27.000000,0.000000,1180.494041
28.000000,0.000000,1233.947056
29.000000,0.000000,1288.530343
30.000000,0.000000,1344.243902
31.000000,0.000000,1401.087734
32.000000,0.000000,1459.013879
33.000000,0.000000,1517.997050
34.000000,0.000000,1578.059697
35.000000,0.000000,1639.201821
36.000000,0.000000,1701.423420
37.000000,0.000000,1764.724495
38.000000,0.000000,1833.530549
39.000000,0.000000,1905.846298
40.000000,0.000000,1979.374227
41.000000,0.000000,2054.114337
42.000000,0.000000,2132.035602
43.000000,0.000000,2223.491265
44.000000,0.000000,2316.445023
45.000000,0.000000,2410.896878
46.000000,0.000000,2516.809936
47.000000,0.000000,2626.530631
48.000000,0.000000,2739.761064
49.000000,0.000000,2867.501166
50.000000,0.000000,2997.246057
25.000000,0.500000,1080.474753
26.000000,0.500000,1131.829203
27.000000,0.500000,1184.317535
28.000000,0.500000,1237.939749
29.000000,0.500000,1292.695845
30.000000,0.500000,1348.585822
31.000000,0.500000,1405.609681
32.000000,0.500000,1463.597670
33.000000,0.500000,1522.615174
34.000000,0.500000,1582.711288
35.000000,0.500000,1643.886010
36.000000,0.500000,1706.139342
37.000000,0.500000,1769.471283
38.000000,0.500000,1838.820991
39.000000,0.500000,1911.108943
40.000000,0.500000,1984.606360
41.000000,0.500000,2059.313241
42.000000,0.500000,2138.252645
43.000000,0.500000,2229.739474
44.000000,0.500000,2322.722504
45.000000,0.500000,2417.201735
46.000000,0.500000,2523.790365
47.000000,0.500000,2633.332035
48.000000,0.500000,2747.297001
49.000000,0.500000,2874.969649
24.000000,1.000000,1033.596005
25.000000,1.000000,1083.975159
26.000000,1.000000,1135.491809
27.000000,1.000000,1188.145955
28.000000,1.000000,1241.937598
29.000000,1.000000,1296.866737
30.000000,1.000000,1352.933372
31.000000,1.000000,1410.137503
32.000000,1.000000,1468.186633
33.000000,1.000000,1527.238463
34.000000,1.000000,1587.368032
35.000000,1.000000,1648.575340
36.000000,1.000000,1710.860388
37.000000,1.000000,1774.223175
38.000000,1.000000,1844.116798
39.000000,1.000000,1916.376809
40.000000,1.000000,1989.843567
41.000000,1.000000,2064.517073
42.000000,1.000000,2144.475475
43.000000,1.000000,2235.993355
44.000000,1.000000,2329.005543
45.000000,1.000000,2423.512038
46.000000,1.000000,2530.776715
47.000000,1.000000,2640.139034
48.000000,1.000000,2754.839000
49.000000,1.000000,2882.443938
24.000000,1.500000,1036.967784
25.000000,1.500000,1087.505834
26.000000,1.500000,1139.184988
27.000000,1.500000,1192.005249
28.000000,1.500000,1245.966615
29.000000,1.500000,1301.069087
30.000000,1.500000,1357.312664
31.000000,1.500000,1414.697347
32.000000,1.500000,1472.756573
33.000000,1.500000,1531.845148
34.000000,1.500000,1592.010669
35.000000,1.500000,1653.253134
36.000000,1.500000,1715.572544
37.000000,1.500000,1778.968898
38.000000,1.500000,1849.386859
39.000000,1.500000,1921.619377
40.000000,1.500000,1995.055953
41.000000,1.500000,2069.696585
42.000000,1.500000,2150.691315
43.000000,1.500000,2242.240067
44.000000,1.500000,2335.281237
45.000000,1.500000,2430.419684
46.000000,1.500000,2537.701316
47.000000,1.500000,2646.887587
48.000000,1.500000,2762.353544
49.000000,1.500000,2889.890650
24.000000,2.000000,1040.343893
25.000000,2.000000,1091.041053
26.000000,2.000000,1142.882933
27.000000,2.000000,1195.869534
28.000000,2.000000,1250.000855
29.000000,2.000000,1305.276896
30.000000,2.000000,1361.697657
31.000000,2.000000,1419.263138
32.000000,2.000000,1477.331670
33.000000,2.000000,1536.456986
34.000000,2.000000,1596.658450
35.000000,2.000000,1657.936062
36.000000,2.000000,1720.289821
37.000000,2.000000,1783.719727
38.000000,2.000000,1854.662246
39.000000,2.000000,1926.867128
40.000000,2.000000,2000.273376
41.000000,2.000000,2074.880991
42.000000,2.000000,2156.912919
43.000000,2.000000,2248.492427
44.000000,2.000000,2341.562467
45.000000,2.000000,2437.333328
46.000000,2.000000,2544.631762
47.000000,2.000000,2653.641663
48.000000,2.000000,2769.874100
49.000000,2.000000,2897.343121
24.000000,2.500000,1043.926337
25.000000,2.500000,1094.772748
26.000000,2.500000,1146.766847
27.000000,2.500000,1199.908634
28.000000,2.500000,1254.198110
29.000000,2.500000,1309.635273
30.000000,2.500000,1366.220125
31.000000,2.500000,1423.882894
32.000000,2.500000,1481.975993
33.000000,2.500000,1541.134399
34.000000,2.500000,1601.367866
35.000000,2.500000,1662.676394
36.000000,2.500000,1725.059984
37.000000,2.500000,1789.021236
38.000000,2.500000,1859.957471
39.000000,2.500000,1932.122470
40.000000,2.500000,2005.485728
41.000000,2.500000,2080.047244
42.000000,2.500000,2163.127525
43.000000,2.500000,2254.737611
44.000000,2.500000,2347.836346
45.000000,2.500000,2444.370473
46.000000,2.500000,2551.501946
47.000000,2.500000,2660.338725
48.000000,2.500000,2777.367270
49.000000,2.500000,2904.768085
24.000000,3.000000,1047.513756
25.000000,3.000000,1098.509605
26.000000,3.000000,1150.656112
27.000000,3.000000,1203.953280
28.000000,3.000000,1258.401106
29.000000,3.000000,1313.999593
30.000000,3.000000,1370.748739
31.000000,3.000000,1428.508267
32.000000,3.000000,1486.625752
33.000000,3.000000,1545.817210
34.000000,3.000000,1606.082641
35.000000,3.000000,1667.422046
36.000000,3.000000,1729.835423
37.000000,3.000000,1794.328298
38.000000,3.000000,1865.258088
39.000000,3.000000,1937.383030
40.000000,3.000000,2010.703124
41.000000,3.000000,2085.218370
42.000000,3.000000,2169.347870
43.000000,3.000000,2260.988421
