weight_g,60.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,642.052229
21.000000,0.000000,705.984498
22.000000,0.000000,772.358840
23.000000,0.000000,841.175256
24.000000,0.000000,928.908826
25.000000,0.000000,1032.524029
26.000000,0.000000,1140.154016
27.000000,0.000000,1282.180256
28.000000,0.000000,1438.419778
29.000000,0.000000,1630.339379
30.000000,0.000000,1843.146536
31.000000,0.000000,2081.694198
32.000000,0.000000,2381.518072
33.000000,0.000000,2760.533102
20.000000,0.500000,645.130761
21.000000,0.500000,709.090426
22.000000,0.500000,775.487432
23.000000,0.500000,844.321777
24.000000,0.500000,933.353683
25.000000,0.500000,1037.031802
26.000000,0.500000,1144.717947
27.000000,0.500000,1288.092022
28.000000,0.500000,1444.056469
29.000000,0.500000,1637.281298
30.000000,0.500000,1851.038024
31.000000,0.500000,2090.313352
32.000000,0.500000,2391.537479
33.000000,0.500000,2774.954703
20.000000,1.000000,648.214677
21.000000,1.000000,712.201533
22.000000,1.000000,778.620998
23.000000,1.000000,847.473071
24.000000,1.000000,937.806048
25.000000,1.000000,1041.546796
26.000000,1.000000,1149.288815
27.000000,1.000000,1294.013444
28.000000,1.000000,1449.701469
29.000000,1.000000,1644.234003
30.000000,1.000000,1858.941973
31.000000,1.000000,2098.945993
32.000000,1.000000,2401.572855
33.000000,1.000000,2789.406308
20.000000,1.500000,651.287241
21.000000,1.500000,715.301813
22.000000,1.500000,781.744335
23.000000,1.500000,850.614807
24.000000,1.500000,942.249694
25.000000,1.500000,1046.051454
26.000000,1.500000,1153.847686
27.000000,1.500000,1299.860701
28.000000,1.500000,1455.268203
29.000000,1.500000,1651.166146
30.000000,1.500000,1866.845861
31.000000,1.500000,2108.832173
32.000000,1.500000,2411.814198
33.000000,1.500000,2803.764662
19.000000,2.000000,592.746355
20.000000,2.000000,654.365148
21.000000,2.000000,718.407234
22.000000,2.000000,784.872613
23.000000,2.000000,853.761284
24.000000,2.000000,946.700806
25.000000,2.000000,1050.563288
26.000000,2.000000,1158.413448
27.000000,2.000000,1305.717385
28.000000,2.000000,1460.843032
29.000000,2.000000,1658.108980
30.000000,2.000000,1874.762160
31.000000,2.000000,2118.735849
32.000000,2.000000,2422.072104
33.000000,2.000000,2818.152510
19.000000,2.500000,595.706198
20.000000,2.500000,657.374011
21.000000,2.500000,721.461355
22.000000,2.500000,787.968231
23.000000,2.500000,856.894637
24.000000,2.500000,951.142180
25.000000,2.500000,1055.064134
26.000000,2.500000,1163.637359
27.000000,2.500000,1311.499484
28.000000,2.500000,1467.160472
29.000000,2.500000,1665.032705
30.000000,2.500000,1882.678518
31.000000,2.500000,2128.602108
32.000000,2.500000,2434.022935
33.000000,2.500000,2832.447708
19.000000,3.000000,598.671403
20.000000,3.000000,660.388070
21.000000,3.000000,724.520508
22.000000,3.000000,791.068717
23.000000,3.000000,860.032696
24.000000,3.000000,955.590976
25.000000,3.000000,1059.572111
26.000000,3.000000,1168.869743
27.000000,3.000000,1317.290784
28.000000,3.000000,1473.487811
29.000000,3.000000,1671.967031
30.000000,3.000000,1890.607235
31.000000,3.000000,2138.485606
32.000000,3.000000,2445.996469
33.000000,3.000000,2846.771902
19.000000,3.500000,601.385150
20.000000,3.500000,663.187922
21.000000,3.500000,727.405480
22.000000,3.500000,794.037824
23.000000,3.500000,863.084953
24.000000,3.500000,959.866728
25.000000,3.500000,1063.836287
26.000000,3.500000,1174.505280
27.000000,3.500000,1323.099356
28.000000,3.500000,1480.850074
29.000000,3.500000,1679.514743
30.000000,3.500000,1899.170567
31.000000,3.500000,2148.909673
32.000000,3.500000,2458.305079
33.000000,3.500000,2861.568553
19.000000,4.000000,604.103757
20.000000,4.000000,665.992589
21.000000,4.000000,730.295222
22.000000,4.000000,797.011656
23.000000,4.000000,866.141889
24.000000,4.000000,964.149746
25.000000,4.000000,1068.107240
26.000000,4.000000,1180.150631
27.000000,4.000000,1328.917488
28.000000,4.000000,1488.225427
29.000000,4.000000,1687.075006
30.000000,4.000000,1907.748322
31.000000,4.000000,2159.352934
32.000000,4.000000,2470.637781
33.000000,4.000000,2876.396224
19.000000,4.500000,606.822800
20.000000,4.500000,668.796165
21.000000,4.500000,733.182318
22.000000,4.500000,799.981258
23.000000,4.500000,869.396659
24.000000,4.500000,968.374783
25.000000,4.500000,1072.292082
26.000000,4.500000,1185.714214
27.000000,4.500000,1334.832109
28.000000,4.500000,1495.908262
29.000000,4.500000,1694.984868
30.000000,4.500000,1916.729754
31.000000,4.500000,2170.192370
32.000000,4.500000,2483.370027
33.000000,4.500000,2892.151621
19.000000,5.000000,609.546695
20.000000,5.000000,671.604546
21.000000,5.000000,736.074172
22.000000,5.000000,802.955572
23.000000,5.000000,872.656579
24.000000,5.000000,972.606941
25.000000,5.000000,1076.483509
26.000000,5.000000,1191.287443
27.000000,5.000000,1340.756640
28.000000,5.000000,1503.605248
29.000000,5.000000,1702.908441
30.000000,5.000000,1925.727011
31.000000,5.000000,2181.052507
32.000000,5.000000,2496.128098
33.000000,5.000000,2907.942191
19.000000,5.500000,612.650262
20.000000,5.500000,674.705782
21.000000,5.500000,739.165686
22.000000,5.500000,806.029974
23.000000,5.500000,876.897070
24.000000,5.500000,976.813967
25.000000,5.500000,1080.644299
26.000000,5.500000,1196.876448
27.000000,5.500000,1346.703403
28.000000,5.500000,1511.295349
29.000000,5.500000,1710.817143
30.000000,5.500000,1934.690495
31.000000,5.500000,2191.797122
32.000000,5.500000,2508.824451
33.000000,5.500000,2923.672278
19.000000,6.000000,615.759860
20.000000,6.000000,677.812691
21.000000,6.000000,742.262523
22.000000,6.000000,809.109357
23.000000,6.000000,881.145164
24.000000,6.000000,981.028033
25.000000,6.000000,1084.811583
26.000000,6.000000,1202.475112
27.000000,6.000000,1352.660103
28.000000,6.000000,1518.999522
29.000000,6.000000,1718.739458
30.000000,6.000000,1943.669634
31.000000,6.000000,2202.561880
32.000000,6.000000,2521.546240
33.000000,6.000000,2939.437071
19.000000,6.500000,619.321026
20.000000,6.500000,681.385678
21.000000,6.500000,745.840570
22.000000,6.500000,812.685699
23.000000,6.500000,886.095596
24.000000,6.500000,985.928662
25.000000,6.500000,1089.646637
26.000000,6.500000,1208.905172
27.000000,6.500000,1359.125601
28.000000,6.500000,1526.973949
29.000000,6.500000,1726.800271
30.000000,6.500000,1952.706098
31.000000,6.500000,2213.260759
32.000000,6.500000,2534.224801
33.000000,6.500000,2955.142022
19.000000,7.000000,622.889789
20.000000,7.000000,684.965909
21.000000,7.000000,749.425506
22.000000,7.000000,816.268582
23.000000,7.000000,891.056064
24.000000,7.000000,990.838537
25.000000,7.000000,1094.490176
26.000000,7.000000,1215.347592
27.000000,7.000000,1365.602658
28.000000,7.000000,1534.963438
29.000000,7.000000,1734.875186
30.000000,7.000000,1961.758412
31.000000,7.000000,2223.979451
32.000000,7.000000,2546.928496
33.000000,7.000000,2970.881222
19.000000,7.500000,626.449692
20.000000,7.500000,688.556448
21.000000,7.500000,753.041254
22.000000,7.500000,819.904112
23.000000,7.500000,896.136987
24.000000,7.500000,995.988734
25.000000,7.500000,1099.702082
26.000000,7.500000,1222.338291
27.000000,7.500000,1372.474146
28.000000,7.500000,1543.320854
29.000000,7.500000,1743.277341
30.000000,7.500000,1971.365126
31.000000,7.500000,2235.758215
32.000000,7.500000,2561.468752
33.000000,7.500000,2988.250825
19.000000,8.000000,630.017153
20.000000,8.000000,692.154262
21.000000,8.000000,756.663995
22.000000,8.000000,823.546352
23.000000,8.000000,901.228362
24.000000,8.000000,1001.148990
25.000000,8.000000,1104.923660
26.000000,8.000000,1229.343329
27.000000,8.000000,1379.358637
28.000000,8.000000,1551.694897
29.000000,8.000000,1751.695005
30.000000,8.000000,1980.989958
31.000000,8.000000,2247.560984
32.000000,8.000000,2576.041803
33.000000,8.000000,3005.662090
19.000000,8.500000,633.385800
20.000000,8.500000,695.604445
21.000000,8.500000,760.192775
22.000000,8.500000,827.150788
23.000000,8.500000,906.318784
24.000000,8.500000,1006.300334
25.000000,8.500000,1110.127824
26.000000,8.500000,1236.277274
27.000000,8.500000,1386.165176
28.000000,8.500000,1560.005435
29.000000,8.500000,1760.045993
30.000000,8.500000,1990.630695
31.000000,8.500000,2259.486673
32.000000,8.500000,2590.929811
33.000000,8.500000,3023.606462
19.000000,9.000000,636.761538
20.000000,9.000000,699.061562
21.000000,9.000000,763.728331
22.000000,9.000000,830.761846
23.000000,9.000000,911.419638
24.000000,9.000000,1011.461690
25.000000,9.000000,1115.341586
26.000000,9.000000,1243.225271
27.000000,9.000000,1392.984434
28.000000,9.000000,1568.332321
29.000000,9.000000,1768.412224
30.000000,9.000000,2000.289532
31.000000,9.000000,2271.436639
32.000000,9.000000,2605.851839
33.000000,9.000000,3041.594973
19.000000,9.500000,640.061909
20.000000,9.500000,702.455968
21.000000,9.500000,767.215340
22.000000,9.500000,834.340025
23.000000,9.500000,916.458709
24.000000,9.500000,1016.521268
25.000000,9.500000,1120.409668
26.000000,9.500000,1249.973208
27.000000,9.500000,1399.682765
