weight_g,450.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,952.020002
29.000000,0.000000,992.914464
30.000000,0.000000,1034.620053
31.000000,0.000000,1077.136769
32.000000,0.000000,1120.464612
33.000000,0.000000,1164.603582
34.000000,0.000000,1209.553679
35.000000,0.000000,1255.314904
36.000000,0.000000,1301.381408
37.000000,0.000000,1345.143301
38.000000,0.000000,1389.581479
39.000000,0.000000,1434.695942
40.000000,0.000000,1480.486690
41.000000,0.000000,1526.953723
42.000000,0.000000,1574.097041
43.000000,0.000000,1621.916643
44.000000,0.000000,1669.296195
45.000000,0.000000,1716.424532
46.000000,0.000000,1764.161153
47.000000,0.000000,1812.506058
48.000000,0.000000,1861.459249
49.000000,0.000000,1911.020724
50.000000,0.000000,1961.190484
51.000000,0.000000,2011.080321
52.000000,0.000000,2061.012768
53.000000,0.000000,2111.506706
54.000000,0.000000,2162.562133
55.000000,0.000000,2214.179050
56.000000,0.000000,2266.357457
57.000000,0.000000,2319.096833
58.000000,0.000000,2372.385575
59.000000,0.000000,2426.218989
60.000000,0.000000,2480.597075
61.000000,0.000000,2535.519833
62.000000,0.000000,2590.987263
63.000000,0.000000,2647.624677
64.000000,0.000000,2705.914307
65.000000,0.000000,2764.755935
66.000000,0.000000,2824.149561
67.000000,0.000000,2884.095184
68.000000,0.000000,2945.299288
69.000000,0.000000,3011.043164
70.000000,0.000000,3077.385643
71.000000,0.000000,3144.326724
72.000000,0.000000,3211.866407
73.000000,0.000000,3281.571514
74.000000,0.000000,3352.640769
75.000000,0.000000,3424.328757
76.000000,0.000000,3496.635478
77.000000,0.000000,3573.866036
78.000000,0.000000,3655.010528
79.000000,0.000000,3736.852900
80.000000,0.000000,3819.745897
81.000000,0.000000,3908.779602
82.000000,0.000000,3998.567927
83.000000,0.000000,4089.110870
84.000000,0.000000,4180.408433
85.000000,0.000000,4272.460615
86.000000,0.000000,4365.267417
28.000000,0.500000,956.982836
29.000000,0.500000,998.078593
30.000000,0.500000,1039.989475
31.000000,0.500000,1082.715483
32.000000,0.500000,1126.256615
33.000000,0.500000,1170.612872
34.000000,0.500000,1215.784255
35.000000,0.500000,1261.770762
36.000000,0.500000,1307.540890
37.000000,0.500000,1351.507173
38.000000,0.500000,1396.153007
39.000000,0.500000,1441.478390
40.000000,0.500000,1487.483322
41.000000,0.500000,1534.167805
42.000000,0.500000,1581.531837
43.000000,0.500000,1629.575418
44.000000,0.500000,1676.790263
45.000000,0.500000,1724.072037
46.000000,0.500000,1771.963757
47.000000,0.500000,1820.465423
48.000000,0.500000,1869.577034
49.000000,0.500000,1919.298590
50.000000,0.500000,1969.630091
51.000000,0.500000,2019.421960
52.000000,0.500000,2069.496238
53.000000,0.500000,2120.133288
54.000000,0.500000,2171.333112
55.000000,0.500000,2223.095708
56.000000,0.500000,2275.421078
57.000000,0.500000,2328.308009
58.000000,0.500000,2381.743788
59.000000,0.500000,2435.725476
60.000000,0.500000,2490.253072
61.000000,0.500000,2545.326578
62.000000,0.500000,2600.945994
63.000000,0.500000,2658.016824
64.000000,0.500000,2716.416056
65.000000,0.500000,2775.367841
66.000000,0.500000,2834.872181
67.000000,0.500000,2894.929074
68.000000,0.500000,2957.060511
69.000000,0.500000,3022.870920
70.000000,0.500000,3089.279806
71.000000,0.500000,3156.287170
72.000000,0.500000,3223.924664
73.000000,0.500000,3294.041847
74.000000,0.500000,3365.150306
75.000000,0.500000,3436.877024
76.000000,0.500000,3509.222001
77.000000,0.500000,3587.823424
78.000000,0.500000,3669.070676
79.000000,0.500000,3751.015832
80.000000,0.500000,3834.946362
81.000000,0.500000,3923.993725
82.000000,0.500000,4013.794707
83.000000,0.500000,4104.349308
84.000000,0.500000,4195.657528
85.000000,0.500000,4287.719368
28.000000,1.000000,961.957421
29.000000,1.000000,1003.254958
30.000000,1.000000,1045.371628
31.000000,1.000000,1088.307430
32.000000,1.000000,1132.062366
33.000000,1.000000,1176.636434
34.000000,1.000000,1222.029635
35.000000,1.000000,1268.241969
36.000000,1.000000,1313.713379
37.000000,1.000000,1357.884505
38.000000,1.000000,1402.738454
39.000000,1.000000,1448.275225
40.000000,1.000000,1494.494819
41.000000,1.000000,1541.397234
42.000000,1.000000,1588.982472
43.000000,1.000000,1637.250531
44.000000,1.000000,1684.299076
45.000000,1.000000,1731.734557
46.000000,1.000000,1779.781647
47.000000,1.000000,1828.440344
48.000000,1.000000,1877.710650
49.000000,1.000000,1927.592563
50.000000,1.000000,1978.086085
51.000000,1.000000,2027.778787
52.000000,1.000000,2077.995114
53.000000,1.000000,2128.775497
54.000000,1.000000,2180.119938
55.000000,1.000000,2232.028436
56.000000,1.000000,2284.500990
57.000000,1.000000,2337.535113
58.000000,1.000000,2391.118144
59.000000,1.000000,2445.248322
60.000000,1.000000,2499.925648
61.000000,1.000000,2555.150121
62.000000,1.000000,2610.921742
63.000000,1.000000,2668.426282
64.000000,1.000000,2726.935218
65.000000,1.000000,2785.997264
66.000000,1.000000,2845.612419
67.000000,1.000000,2905.780684
68.000000,1.000000,2968.840977
69.000000,1.000000,3034.717897
70.000000,1.000000,3101.193167
71.000000,1.000000,3168.266789
72.000000,1.000000,3236.002118
73.000000,1.000000,3306.531900
74.000000,1.000000,3377.679465
75.000000,1.000000,3449.444815
76.000000,1.000000,3521.827949
77.000000,1.000000,3601.802803
78.000000,1.000000,3683.152812
79.000000,1.000000,3765.200745
80.000000,1.000000,3850.170601
81.000000,1.000000,3939.231417
82.000000,1.000000,4029.044850
83.000000,1.000000,4119.610899
84.000000,1.000000,4210.929565
85.000000,1.000000,4303.000849
28.000000,1.500000,966.988676
29.000000,1.500000,1008.490257
30.000000,1.500000,1050.815021
31.000000,1.500000,1093.962970
32.000000,1.500000,1137.934103
33.000000,1.500000,1182.728421
34.000000,1.500000,1228.345922
35.000000,1.500000,1274.786608
36.000000,1.500000,1319.954992
37.000000,1.500000,1364.333771
38.000000,1.500000,1409.398694
39.000000,1.500000,1455.149762
40.000000,1.500000,1501.586973
41.000000,1.500000,1548.710329
42.000000,1.500000,1596.519830
43.000000,1.500000,1644.765157
44.000000,1.500000,1691.855313
45.000000,1.500000,1739.446111
46.000000,1.500000,1787.650203
47.000000,1.500000,1836.467588
48.000000,1.500000,1885.898267
49.000000,1.500000,1935.942239
50.000000,1.500000,1986.367998
51.000000,1.500000,2036.181873
52.000000,1.500000,2086.540817
53.000000,1.500000,2137.465105
54.000000,1.500000,2188.954737
55.000000,1.500000,2241.009713
56.000000,1.500000,2293.630033
57.000000,1.500000,2346.812576
58.000000,1.500000,2400.544262
59.000000,1.500000,2454.824349
60.000000,1.500000,2509.652839
61.000000,1.500000,2565.029730
62.000000,1.500000,2621.021416
63.000000,1.500000,2678.861071
64.000000,1.500000,2737.480073
65.000000,1.500000,2796.652743
66.000000,1.500000,2856.379080
67.000000,1.500000,2916.659085
68.000000,1.500000,2980.610938
69.000000,1.500000,3046.554015
70.000000,1.500000,3113.095313
71.000000,1.500000,3180.234832
72.000000,1.500000,3248.420167
73.000000,1.500000,3318.988933
74.000000,1.500000,3390.175003
75.000000,1.500000,3461.978377
76.000000,1.500000,3535.367367
77.000000,1.500000,3615.782127
78.000000,1.500000,3697.233770
79.000000,1.500000,3779.383343
80.000000,1.500000,3865.326024
81.000000,1.500000,3954.399311
82.000000,1.500000,4044.224207
83.000000,1.500000,4134.800713
84.000000,1.500000,4226.128829
85.000000,1.500000,4318.208553
27.000000,2.000000,931.153025
28.000000,2.000000,972.031897
29.000000,2.000000,1013.738014
30.000000,2.000000,1056.271377
31.000000,2.000000,1099.631985
32.000000,2.000000,1143.819839
33.000000,2.000000,1188.834938
34.000000,2.000000,1234.677283
35.000000,2.000000,1281.346873
36.000000,2.000000,1326.209847
37.000000,2.000000,1370.796739
38.000000,2.000000,1416.073107
39.000000,2.000000,1462.038949
40.000000,2.000000,1508.694265
41.000000,2.000000,1556.039056
42.000000,2.000000,1604.073322
43.000000,2.000000,1652.295042
44.000000,2.000000,1699.426449
45.000000,2.000000,1747.172837
46.000000,2.000000,1795.534206
47.000000,2.000000,1844.510556
48.000000,2.000000,1894.101887
49.000000,2.000000,1944.308199
50.000000,2.000000,1994.665137
51.000000,2.000000,2044.600286
52.000000,2.000000,2095.102066
53.000000,2.000000,2146.170479
54.000000,2.000000,2197.805524
55.000000,2.000000,2250.007201
56.000000,2.000000,2302.775510
57.000000,2.000000,2356.106107
58.000000,2.000000,2409.986667
59.000000,2.000000,2464.416884
60.000000,2.000000,2519.396758
61.000000,2.000000,2574.926290
62.000000,2.000000,2631.138298
63.000000,2.000000,2689.313243
64.000000,2.000000,2748.042413
65.000000,2.000000,2807.325809
66.000000,2.000000,2867.163431
67.000000,2.000000,2927.555277
68.000000,2.000000,2992.400125
69.000000,2.000000,3058.409336
70.000000,2.000000,3125.016637
71.000000,2.000000,3192.222026
72.000000,2.000000,3260.857959
73.000000,2.000000,3331.465614
74.000000,2.000000,3402.690090
75.000000,2.000000,3474.531388
76.000000,2.000000,3548.928098
77.000000,2.000000,3629.783429
78.000000,2.000000,3711.336697
79.000000,2.000000,3793.587902
80.000000,2.000000,3880.505063
81.000000,2.000000,3969.590614
82.000000,2.000000,4059.426765
83.000000,2.000000,4150.013516
84.000000,2.000000,4241.350867
85.000000,2.000000,4333.438818
27.000000,2.500000,936.141436
28.000000,2.500000,977.214542
29.000000,2.500000,1019.118585
30.000000,2.500000,1061.853565
31.000000,2.500000,1105.419483
32.000000,2.500000,1149.816339
33.000000,2.500000,1195.044133
34.000000,2.500000,1241.102864
35.000000,2.500000,1287.958357
36.000000,2.500000,1332.545255
37.000000,2.500000,1377.340769
38.000000,2.500000,1422.829020
39.000000,2.500000,1469.010009
40.000000,2.500000,1515.883735
41.000000,2.500000,1563.450199
42.000000,2.500000,1611.709401
43.000000,2.500000,1659.752885
44.000000,2.500000,1707.040775
45.000000,2.500000,1754.945368
46.000000,2.500000,1803.466664
47.000000,2.500000,1852.604664
48.000000,2.500000,1902.359367
49.000000,2.500000,1952.730772
50.000000,2.500000,2002.987883
51.000000,2.500000,2053.065148
52.000000,2.500000,2103.710336
53.000000,2.500000,2154.923448
54.000000,2.500000,2206.704483
55.000000,2.500000,2259.053442
56.000000,2.500000,2311.971239
57.000000,2.500000,2365.451087
58.000000,2.500000,2419.481945
59.000000,2.500000,2474.063733
60.000000,2.500000,2529.196449
61.000000,2.500000,2584.880095
62.000000,2.500000,2641.506039
63.000000,2.500000,2699.790956
64.000000,2.500000,2758.630659
65.000000,2.500000,2818.025147
66.000000,2.500000,2877.974421
67.000000,2.500000,2938.984803
68.000000,2.500000,3004.178463
69.000000,2.500000,3070.253449
70.000000,2.500000,3136.926388
71.000000,2.500000,3204.197280
72.000000,2.500000,3273.262829
73.000000,2.500000,3343.908766
74.000000,2.500000,3415.171038
75.000000,2.500000,3487.049644
76.000000,2.500000,3562.827612
77.000000,2.500000,3643.783431
78.000000,2.500000,3725.437175
79.000000,2.500000,3807.976856
80.000000,2.500000,3895.614521
81.000000,2.500000,3984.711346
82.000000,2.500000,4074.557756
83.000000,2.500000,4165.153752
84.000000,2.500000,4256.499332
85.000000,2.500000,4348.594498
27.000000,3.000000,941.142030
28.000000,3.000000,982.409820
29.000000,3.000000,1024.512247
30.000000,3.000000,1067.449313
31.000000,3.000000,1111.221016
32.000000,3.000000,1155.827358
33.000000,3.000000,1201.268337
34.000000,3.000000,1247.543954
35.000000,3.000000,1294.585662
36.000000,3.000000,1338.894245
37.000000,3.000000,1383.898836
38.000000,3.000000,1429.599435
39.000000,3.000000,1475.996042
40.000000,3.000000,1523.088657
41.000000,3.000000,1570.877280
42.000000,3.000000,1619.361911
43.000000,3.000000,1667.225502
44.000000,3.000000,1714.670151
45.000000,3.000000,1762.733228
46.000000,3.000000,1811.414732
47.000000,3.000000,1860.714664
48.000000,3.000000,1910.633023
49.000000,3.000000,1961.169809
50.000000,3.000000,2011.325873
51.000000,3.000000,2061.545475
52.000000,3.000000,2112.334292
53.000000,3.000000,2163.692324
54.000000,3.000000,2215.619573
55.000000,3.000000,2268.116037
56.000000,3.000000,2321.183100
57.000000,3.000000,2374.812278
58.000000,3.000000,2428.993657
59.000000,3.000000,2483.727239
60.000000,3.000000,2539.013022
61.000000,3.000000,2594.851008
62.000000,3.000000,2651.891130
63.000000,3.000000,2710.286123
64.000000,3.000000,2769.236461
65.000000,3.000000,2828.742145
66.000000,3.000000,2888.803174
67.000000,3.000000,2950.433091
68.000000,3.000000,3015.976010
69.000000,3.000000,3082.116744
70.000000,3.000000,3148.855295
71.000000,3.000000,3216.191660
72.000000,3.000000,3285.687372
73.000000,3.000000,3356.371494
74.000000,3.000000,3427.671461
75.000000,3.000000,3499.587273
76.000000,3.000000,3576.749097
77.000000,3.000000,3657.805392
78.000000,3.000000,3739.559601
79.000000,3.000000,3822.388112
80.000000,3.000000,3910.747435
81.000000,3.000000,3999.855325
82.000000,3.000000,4089.711784
83.000000,3.000000,4180.316810
84.000000,3.000000,4271.670405
85.000000,3.000000,4363.772568
27.000000,3.500000,946.260702
28.000000,3.500000,987.721505
29.000000,3.500000,1030.020586
30.000000,3.500000,1073.157945
31.000000,3.500000,1117.133581
32.000000,3.500000,1161.947494
33.000000,3.500000,1207.599685
34.000000,3.500000,1254.090154
35.000000,3.500000,1300.828601
36.000000,3.500000,1345.317707
37.000000,3.500000,1390.505406
38.000000,3.500000,1436.391699
39.000000,3.500000,1482.976584
40.000000,3.500000,1530.260063
41.000000,3.500000,1578.242135
42.000000,3.500000,1626.922799
43.000000,3.500000,1674.607615
44.000000,3.500000,1722.241286
45.000000,3.500000,1770.495727
46.000000,3.500000,1819.370939
47.000000,3.500000,1868.866923
48.000000,3.500000,1918.983678
49.000000,3.500000,1969.719153
50.000000,3.500000,2019.793219
51.000000,3.500000,2070.184666
52.000000,3.500000,2121.147057
53.000000,3.500000,2172.680392
54.000000,3.500000,2224.784670
55.000000,3.500000,2277.459893
56.000000,3.500000,2330.677930
57.000000,3.500000,2384.438497
58.000000,3.500000,2438.752159
59.000000,3.500000,2493.618917
60.000000,3.500000,2549.038771
61.000000,3.500000,2605.011721
62.000000,3.500000,2662.418640
63.000000,3.500000,2720.908315
64.000000,3.500000,2779.953582
65.000000,3.500000,2839.554441
66.000000,3.500000,2899.710891
67.000000,3.500000,2962.197840
68.000000,3.500000,3027.803228
69.000000,3.500000,3094.006131
70.000000,3.500000,3160.806550
71.000000,3.500000,3228.289848
72.000000,3.500000,3298.107458
73.000000,3.500000,3368.826798
74.000000,3.500000,3440.161353
75.000000,3.500000,3512.111123
76.000000,3.500000,3590.690248
77.000000,3.500000,3671.843613
78.000000,3.500000,3753.694779
79.000000,3.500000,3837.454672
80.000000,3.500000,3925.822853
81.000000,3.500000,4014.938539
82.000000,3.500000,4104.801731
83.000000,3.500000,4195.412429
84.000000,3.500000,4286.770633
27.000000,4.000000,951.392156
28.000000,4.000000,993.046429
29.000000,4.000000,1035.542627
30.000000,4.000000,1078.880750
31.000000,4.000000,1123.060797
32.000000,4.000000,1168.082770
33.000000,4.000000,1213.946667
34.000000,4.000000,1260.652490
35.000000,4.000000,1307.085285
36.000000,4.000000,1351.755280
37.000000,4.000000,1397.126458
38.000000,4.000000,1443.198819
39.000000,4.000000,1489.972363
40.000000,4.000000,1537.447090
41.000000,4.000000,1585.623000
42.000000,4.000000,1634.500093
43.000000,4.000000,1682.004583
44.000000,4.000000,1729.827638
45.000000,4.000000,1778.273813
46.000000,4.000000,1827.343106
47.000000,4.000000,1877.035519
48.000000,4.000000,1927.351052
49.000000,4.000000,1978.285590
50.000000,4.000000,2028.276498
51.000000,4.000000,2078.840081
52.000000,4.000000,2129.976339
53.000000,4.000000,2181.685272
54.000000,4.000000,2233.966879
55.000000,4.000000,2286.821162
56.000000,4.000000,2340.189773
57.000000,4.000000,2394.081890
58.000000,4.000000,2448.527997
59.000000,4.000000,2503.528094
60.000000,4.000000,2559.082181
61.000000,4.000000,2615.190257
62.000000,4.000000,2672.964091
63.000000,4.000000,2731.548496
64.000000,4.000000,2790.688738
65.000000,4.000000,2850.384816
66.000000,4.000000,2910.636732
67.000000,4.000000,2973.982091
68.000000,4.000000,3039.649892
69.000000,4.000000,3105.914907
70.000000,4.000000,3172.777136
71.000000,4.000000,3240.407447
72.000000,4.000000,3310.547299
73.000000,4.000000,3381.301733
74.000000,4.000000,3452.670750
75.000000,4.000000,3524.654351
76.000000,4.000000,3604.653434
77.000000,4.000000,3685.903841
78.000000,4.000000,3767.851934
79.000000,4.000000,3852.544783
80.000000,4.000000,3940.921605
81.000000,4.000000,4030.044868
82.000000,4.000000,4119.914573
83.000000,4.000000,4210.530720
84.000000,4.000000,4301.893308
27.000000,4.500000,956.609567
28.000000,4.500000,998.455842
29.000000,4.500000,1041.147561
30.000000,4.500000,1084.684723
31.000000,4.500000,1129.067328
32.000000,4.500000,1174.295378
33.000000,4.500000,1220.368870
34.000000,4.500000,1267.287807
35.000000,4.500000,1313.399833
36.000000,4.500000,1358.251451
37.000000,4.500000,1403.806855
38.000000,4.500000,1450.066047
39.000000,4.500000,1497.029026
40.000000,4.500000,1544.695792
41.000000,4.500000,1593.066346
42.000000,4.500000,1641.926122
43.000000,4.500000,1689.475428
44.000000,4.500000,1737.497772
45.000000,4.500000,1786.145825
46.000000,4.500000,1835.419588
47.000000,4.500000,1885.319060
48.000000,4.500000,1935.844241
49.000000,4.500000,1986.718606
50.000000,4.500000,2036.897486
51.000000,4.500000,2087.651132
52.000000,4.500000,2138.979546
53.000000,4.500000,2190.882726
54.000000,4.500000,2243.360673
55.000000,4.500000,2296.413388
56.000000,4.500000,2349.898108
57.000000,4.500000,2403.922022
58.000000,4.500000,2458.500863
59.000000,4.500000,2513.634630
60.000000,4.500000,2569.323324
61.000000,4.500000,2625.681265
62.000000,4.500000,2683.662243
63.000000,4.500000,2742.326492
64.000000,4.500000,2801.546647
65.000000,4.500000,2861.322707
66.000000,4.500000,2921.654672
67.000000,4.500000,2985.885443
68.000000,4.500000,3051.676093
69.000000,4.500000,3118.064522
70.000000,4.500000,3185.050732
71.000000,4.500000,3253.177483
72.000000,4.500000,3323.441098
73.000000,4.500000,3394.319898
74.000000,4.500000,3465.813884
75.000000,4.500000,3539.067121
76.000000,4.500000,3619.472549
77.000000,4.500000,3700.852984
78.000000,4.500000,3782.931317
79.000000,4.500000,3868.547946
80.000000,4.500000,3956.923586
81.000000,4.500000,4046.044308
82.000000,4.500000,4135.910112
83.000000,4.500000,4226.520997
84.000000,4.500000,4317.876965
27.000000,5.000000,961.840135
28.000000,5.000000,1003.878857
29.000000,5.000000,1046.766548
30.000000,5.000000,1090.503209
31.000000,5.000000,1135.088839
32.000000,5.000000,1180.523439
33.000000,5.000000,1226.807008
34.000000,5.000000,1273.939547
35.000000,5.000000,1319.728325
36.000000,5.000000,1364.761934
37.000000,5.000000,1410.501940
38.000000,5.000000,1456.948343
39.000000,5.000000,1504.101141
40.000000,5.000000,1551.960336
41.000000,5.000000,1600.525927
42.000000,5.000000,1649.367654
43.000000,5.000000,1696.961388
44.000000,5.000000,1745.183426
45.000000,5.000000,1794.033769
46.000000,5.000000,1843.512416
47.000000,5.000000,1893.619367
48.000000,5.000000,1944.354623
49.000000,5.000000,1995.167716
50.000000,5.000000,2045.534920
51.000000,5.000000,2096.478986
52.000000,5.000000,2147.999915
53.000000,5.000000,2200.097707
54.000000,5.000000,2252.772362
55.000000,5.000000,2306.023880
56.000000,5.000000,2359.624205
57.000000,5.000000,2413.780089
58.000000,5.000000,2468.491837
59.000000,5.000000,2523.759447
60.000000,5.000000,2579.582921
61.000000,5.000000,2636.190910
62.000000,5.000000,2694.379044
63.000000,5.000000,2753.123150
64.000000,5.000000,2812.423228
65.000000,5.000000,2872.279279
66.000000,5.000000,2932.691302
67.000000,5.000000,2997.809029
68.000000,5.000000,3063.722627
69.000000,5.000000,3130.234571
70.000000,5.000000,3197.344860
71.000000,5.000000,3265.968799
72.000000,5.000000,3336.356281
73.000000,5.000000,3407.359550
74.000000,5.000000,3478.978606
75.000000,5.000000,3553.504038
76.000000,5.000000,3634.316426
77.000000,5.000000,3715.826924
78.000000,5.000000,3798.035531
79.000000,5.000000,3884.577553
80.000000,5.000000,3972.951726
81.000000,5.000000,4062.069620
82.000000,5.000000,4151.931233
83.000000,5.000000,4242.536567
84.000000,5.000000,4333.885622
27.000000,5.500000,967.286721
28.000000,5.500000,1009.520238
29.000000,5.500000,1052.606089
30.000000,5.500000,1096.544274
31.000000,5.500000,1141.334793
32.000000,5.500000,1186.977645
33.000000,5.500000,1233.472831
34.000000,5.500000,1280.820351
35.000000,5.500000,1326.249607
36.000000,5.500000,1371.451626
37.000000,5.500000,1417.362133
38.000000,5.500000,1463.981128
39.000000,5.500000,1511.308613
40.000000,5.500000,1559.344585
41.000000,5.500000,1608.089046
42.000000,5.500000,1656.753781
43.000000,5.500000,1704.543082
44.000000,5.500000,1752.963210
45.000000,5.500000,1802.014165
46.000000,5.500000,1851.695946
47.000000,5.500000,1902.008554
48.000000,5.500000,1952.951990
49.000000,5.500000,2003.691231
50.000000,5.500000,2054.248947
51.000000,5.500000,2105.385650
52.000000,5.500000,2157.101339
